label,temperature,bin_index,abs_rate_left,abs_rate_right,abs_rate_center,positive_count,negative_count,supported,log_ratio_over_t
T10,10.0,41,0.13742147162020263,0.14077321483045147,0.13909734322532705,3055,3124,1,-0.0011167319676940453
T10,10.0,42,0.14077321483045147,0.14412495804070033,0.1424490864355759,2895,2982,1,-0.0014804552658794067
T10,10.0,43,0.14412495804070033,0.14747670125094917,0.14580082964582475,2705,2746,1,-0.0007521697523667226
T10,10.0,44,0.14747670125094917,0.150828444461198,0.14915257285607358,2570,2582,1,-0.00023291967586611798
T10,10.0,45,0.150828444461198,0.15418018767144687,0.15250431606632242,2477,2394,1,0.0017041271685720536
T10,10.0,46,0.15418018767144687,0.1575319308816957,0.15585605927657128,2233,2308,1,-0.0016517687893916125
T10,10.0,47,0.1575319308816957,0.16088367409194454,0.15920780248682012,2128,2174,1,-0.0010693108609809892
T10,10.0,48,0.16088367409194454,0.1642354173021934,0.16255954569706899,2136,2074,1,0.001472790564530637
T10,10.0,49,0.1642354173021934,0.16758716051244224,0.16591128890731782,1966,1919,1,0.0012098402349705964
T10,10.0,50,0.16758716051244224,0.17093890372269108,0.16926303211756666,1867,1873,1,-0.0001604279451182956
T10,10.0,51,0.17093890372269108,0.1742906469329399,0.1726147753278155,1748,1726,1,0.000633284228605371
T10,10.0,52,0.1742906469329399,0.17764239014318878,0.17596651853806433,1610,1608,1,6.215041197985113e-05
T10,10.0,53,0.17764239014318878,0.18099413335343761,0.1793182617483132,1483,1522,1,-0.0012979098141849533
T10,10.0,54,0.18099413335343761,0.18434587656368645,0.18267000495856203,1473,1446,1,0.0009250006871960104
T10,10.0,55,0.18434587656368645,0.18769761977393531,0.1860217481688109,1381,1358,1,0.0008397422645325311
T10,10.0,56,0.18769761977393531,0.19104936298418415,0.18937349137905973,1317,1263,1,0.002093328969639493
T10,10.0,57,0.19104936298418415,0.194401106194433,0.19272523458930857,1213,1239,1,-0.0010603986342546158
T10,10.0,58,0.194401106194433,0.19775284940468185,0.1960769777995574,1119,1209,1,-0.0038679071151433743
T10,10.0,59,0.19775284940468185,0.2011045926149307,0.19942872100980627,1075,1080,1,-0.00023201897782511126
T10,10.0,60,0.2011045926149307,0.20445633582517952,0.2027804642200551,1017,1087,1,-0.003328224553632472
T10,10.0,61,0.20445633582517952,0.20780807903542836,0.20613220743030394,946,957,1,-0.0005780411200537986
T10,10.0,62,0.20780807903542836,0.21115982224567723,0.2094839506405528,917,894,1,0.0012700848541475328
T10,10.0,63,0.21115982224567723,0.21451156545592606,0.21283569385080164,898,774,1,0.007429909735623625
T10,10.0,64,0.21451156545592606,0.2178633086661749,0.21618743706105048,855,835,1,0.0011834872042952352
T10,10.0,65,0.2178633086661749,0.22121505187642376,0.21953918027129932,752,702,1,0.0034401459962014372
T10,10.0,66,0.22121505187642376,0.2245667950866726,0.22289092348154818,724,701,1,0.0016141752675563187
T10,10.0,67,0.2245667950866726,0.22791853829692144,0.22624266669179702,663,646,1,0.0012987743201630369
T10,10.0,68,0.22791853829692144,0.23127028150717027,0.22959440990204585,576,577,1,-8.673029061041538e-05
T10,10.0,69,0.23127028150717027,0.23462202471741914,0.23294615311229472,588,627,1,-0.0032109796367146884
T10,10.0,70,0.23462202471741914,0.23797376792766797,0.23629789632254355,527,562,1,-0.0032150650676164355
T10,10.0,71,0.23797376792766797,0.2413255111379168,0.2396496395327924,535,538,1,-0.0002795906632888915
T10,10.0,72,0.2413255111379168,0.24467725434816567,0.24300138274304123,472,474,1,-0.0002114168054760532
T10,10.0,73,0.24467725434816567,0.2480289975584145,0.2463531259532901,416,459,1,-0.004918247489964096
T10,10.0,74,0.2480289975584145,0.25138074076866335,0.24970486916353893,410,433,1,-0.002729028415206819
T10,10.0,75,0.25138074076866335,0.2547324839789122,0.25305661237378774,403,392,1,0.001383736107811025
T10,10.0,76,0.2547324839789122,0.258084227189161,0.25640835558403663,355,365,1,-0.0013889782053537853
T10,10.0,77,0.258084227189161,0.2614359703994099,0.25976009879428547,359,370,1,-0.0015090308574995644
T10,10.0,78,0.2614359703994099,0.26478771360965875,0.2631118420045343,375,371,1,0.0005361981681487821
T10,10.0,79,0.26478771360965875,0.2681394568199076,0.2664635852147832,326,319,1,0.0010853139290931536
