h,a_eff,rmse
0.3,0.749549,0.000819093
0.3,0.751299,0.000858635
0.3,0.753049,0.00089899
0.3,0.754799,0.000940055
0.3,0.756549,0.00098174
0.3,0.758299,0.00102397
0.3,0.760048,0.00106669
0.3,0.761798,0.00110983
0.3,0.763548,0.00115335
0.3,0.765298,0.00119721
0.3,0.767048,0.00124137
0.3,0.768797,0.0012858
0.3,0.770547,0.00133049
0.3,0.772297,0.00137539
0.3,0.774047,0.0014205
0.3,0.775797,0.00146578
0.3,0.777547,0.00151124
0.3,0.779296,0.00155685
0.3,0.781046,0.0016026
0.3,0.782796,0.00164848
0.3,0.784546,0.00169448
0.3,0.786296,0.00174059
0.3,0.788045,0.0017868
0.3,0.789795,0.0018331
0.3,0.791545,0.00187949
0.3,0.793295,0.00192597
0.3,0.795045,0.00197252
0.3,0.796795,0.00201914
0.3,0.798544,0.00206583
0.3,0.800294,0.00211257
0.3,0.802044,0.00215938
0.3,0.803794,0.00220624
0.3,0.805544,0.00225316
0.3,0.807293,0.00230012
0.3,0.809043,0.00234713
0.3,0.810793,0.00239418
0.3,0.812543,0.00244127
0.3,0.814293,0.00248841
0.4,0.589845,0.00291708
0.4,0.592254,0.00285345
0.4,0.594664,0.00278985
0.4,0.597073,0.00272631
0.4,0.599482,0.0026628
0.4,0.601892,0.00259936
0.4,0.604301,0.00253597
0.4,0.606711,0.00247264
0.4,0.60912,0.00240939
0.4,0.611529,0.00234621
0.4,0.613939,0.00228313
0.4,0.616348,0.00222014
0.4,0.618757,0.00215725
0.4,0.621167,0.00209449
0.4,0.623576,0.00203186
0.4,0.625985,0.00196938
0.4,0.628395,0.00190706
0.4,0.630804,0.00184492
0.4,0.633214,0.00178298
0.4,0.635623,0.00172127
0.4,0.638032,0.00165982
0.4,0.640442,0.00159866
0.4,0.642851,0.00153782
0.4,0.64526,0.00147734
0.4,0.64767,0.00141728
0.4,0.650079,0.00135769
0.4,0.652488,0.00129865
0.4,0.654898,0.00124023
0.4,0.657307,0.00118252
0.4,0.659717,0.00112565
0.4,0.662126,0.00106974
0.4,0.664535,0.00101496
0.4,0.666945,0.000961503
0.4,0.669354,0.000909611
0.4,0.671763,0.000859569
0.4,0.674173,0.000811724
0.4,0.676582,0.000766489
0.4,0.678991,0.00072436
0.4,0.681401,0.000685914
0.4,0.68381,0.000651806
0.4,0.68622,0.000622755
0.4,0.688629,0.000599503
0.4,0.691038,0.000582747
0.4,0.693448,0.000573065
0.4,0.695857,0.000570819
0.4,0.698266,0.000576104
0.4,0.700676,0.00058872
0.4,0.703085,0.000608216
0.4,0.705494,0.000633961
0.4,0.707904,0.000665236
0.4,0.710313,0.000701303
0.4,0.712723,0.000741468
0.4,0.715132,0.000785104
0.4,0.717541,0.000831669
0.4,0.719951,0.000880702
0.4,0.72236,0.000931814
0.4,0.724769,0.000984685
0.4,0.727179,0.00103905
0.4,0.729588,0.00109468
0.4,0.731997,0.00115141
0.4,0.734407,0.00120907
0.4,0.736816,0.00126755
0.4,0.739226,0.00132673
0.4,0.741635,0.00138653
0.4,0.744044,0.00144687
0.4,0.746454,0.00150769
0.4,0.748863,0.00156893
0.4,0.751272,0.00163055
0.4,0.753682,0.00169251
0.4,0.756091,0.00175477
0.4,0.7585,0.0018173
0.4,0.76091,0.00188008
0.4,0.763319,0.00194308
0.4,0.765729,0.00200628
0.4,0.768138,0.00206967
0.4,0.770547,0.00213322
0.4,0.772957,0.00219694
0.4,0.775366,0.00226079
0.4,0.777775,0.00232478
0.4,0.780185,0.00238889
0.4,0.782594,0.00245311
0.4,0.785003,0.00251743
0.4,0.787413,0.00258185
0.4,0.789822,0.00264636
0.4,0.792232,0.00271096
