observable,lag_index,time,C,SE_C,SNR_C,C_discard_first_quarter,lambda_eff,lambda_ci_low,lambda_ci_high
cos_theta1,67,0.67,0.04623105530667975,0.0008455764737314296,54.67400849348083,0.04626678183394471,-1.7971900763435043,-1.9437325727436958,-1.6494859559700337
cos_theta1,71,0.71,0.04325039150089184,0.000848879408470093,50.949983082803925,0.04338984768607775,-1.666971684714069,-1.826857175386531,-1.5124370519127437
cos_theta1,75,0.75,0.040723221372835426,0.0008612196259328511,47.28552409465248,0.040903875017396486,-1.4899922371413825,-1.6545508676212257,-1.3265433582607447
cos_theta1,79,0.79,0.03832669695389699,0.0008723929658420389,43.93283583723515,0.038587086831690785,-1.3709510045526745,-1.5603985840411767,-1.1874815786619084
cos_theta1,84,0.84,0.035886209483273215,0.0008988089315633898,39.92640507126769,0.03632894799023118,-1.3092571334049912,-1.513489384639662,-1.118469573504692
cos_theta1,89,0.89,0.033792372270854285,0.0009393858591297403,35.97283474349933,0.03436056152658858,-1.2726906735721604,-1.4900073696554736,-1.0782717778854878
cos_theta1,94,0.9400000000000001,0.03175466437829411,0.0009832673327457824,32.295046647811375,0.03244652694737307,-1.2923839485932196,-1.516596865842808,-1.0925955640442753
cos_theta1,100,1.0,0.029337942974320606,0.001012893619027615,28.964485927441462,0.03009953566760264,-1.3204652630534144,-1.53685871864108,-1.1202457574717144
cos_theta1,106,1.06,0.027005177747581165,0.0010175830978415511,26.53854786391722,0.02773496402323939,-1.288328657603446,-1.5280463069001564,-1.0797345138903693
cos_theta1,112,1.12,0.024941375573880393,0.0009870674903550403,25.268156248271513,0.025594649414050076,-1.2422235344968608,-1.4922376388274685,-1.0136025385138308
cos_theta1,119,1.19,0.023010657074956718,0.0009848196907829806,23.365350317744056,0.023620345467488906,-1.245013339132728,-1.5307587547289465,-1.0012154463598644
cos_theta1,126,1.26,0.021240368410416034,0.0010046430475151695,21.142204151963057,0.021929642504933775,-1.217335594976781,-1.4879913032063246,-0.9713143882389607
cos_theta1,133,1.33,0.019295559939234784,0.0010276178999103457,18.776979206880515,0.019843251506600466,-1.311776082927215,-1.5809774797187268,-1.0547455098462177
cos_theta1,141,1.41,0.017522762876677117,0.0010010321259093494,17.504695826579226,0.01772552525475729,-1.4362328343825168,-1.7784021219904667,-1.1155829644291488
cos_theta1,150,1.5,0.01532226307943862,0.0009607394661421658,15.94840601371871,0.015236388500185855,-1.4810453363420102,-1.9065630574071433,-1.0879033681076316
cos_theta1,158,1.58,0.013414135437368531,0.0009575034164809733,14.009490939121976,0.01325085598472359,-1.564917453972359,-2.082976233210802,-1.1402184224164316
cos_theta1,168,1.68,0.011490368316725307,0.001014679962852193,11.324130501628021,0.011446482222437519,-1.4272214304015014,-1.9307223359877366,-1.0208680640446177
cos_theta1,178,1.78,0.009820591095171676,0.0011027112615431115,8.905859074504184,0.00982886991194276,-1.1267632865071113,-1.6166856609363653,-0.7422475569103326
cos_theta1,188,1.8800000000000001,0.008908115635900549,0.0010530654288703903,8.45922332238764,0.00871401221461876,-0.9813559442602348,-1.5092385249225722,-0.5238442654531181
cos_theta1,200,2.0,0.008356740460612645,0.0010085041225080672,8.28627298005497,0.008432124654292612,-0.8779427719317386,-1.5460256513172184,-0.28988511711250536
cos_theta1,211,2.11,0.007534753297982622,0.0009793203540800195,7.693859590063175,0.008127534749776316,-1.0328202160895943,-1.8040221186704952,-0.4246139001044959
cos_theta1,224,2.24,0.006557619384953754,0.000938923663620156,6.984188000619671,0.006862125216024013,-1.3288617081643153,-2.2941706891199,-0.6410382779616033
cos_theta1,237,2.37,0.005370284166629466,0.0009410512538687229,5.706686160346611,0.005113093160774028,-1.1046432961834405,-1.9509167383973878,-0.4265020006027146
cos_theta1,251,2.5100000000000002,0.004243332734794576,0.0009357271601416908,4.534797017275887,0.003809001357304059,-1.8323075354037608,-3.4156357745801875,-0.8904999531479139
cos_theta1,266,2.66,0.004104041737733183,0.0007952779399318956,5.160512484584491,0.004029161163658056,-1.565432815655195,-3.7191946039286634,-0.5753522574856775
cos_theta1,282,2.82,0.0022657124748919994,0.0007229189201633523,3.1341169966613047,0.0019659550416043876,-0.5933374866532268,-1.782247512450616,0.32712691278455636
