selection,time,C,SE_C,fitted_or_lambda_eff
equilibrium_dt1e-3:real,2.0,0.1651417641544638,0.01386527327622916,-0.993527723586274
equilibrium_dt1e-3:real,2.11,0.14788204815378925,0.013383073306246971,-0.9947493401649905
equilibrium_dt1e-3:real,2.24,0.1298622877668071,0.012803376293284978,-0.9841969641712154
equilibrium_dt1e-3:real,2.37,0.11420159080505933,0.012367762972342322,-0.9881040613166534
equilibrium_dt1e-3:real,2.5100000000000002,0.0999693690920076,0.012086504585773358,-0.9844227920267258
equilibrium_dt1e-3:real,2.66,0.08588058204032228,0.011713130061387828,-0.9910427725955891
equilibrium_dt1e-3:real,2.82,0.07336957533583857,0.01127627596126058,-1.0130536771736731
equilibrium_dt1e-3:real,2.99,0.06177623280857688,0.010882535941348234,-0.9647123693691532
equilibrium_dt1e-3:real,3.16,0.05174764582586429,0.010260603496257441,-0.8815256097643296
equilibrium_dt1e-3:real,3.35,0.044137343499114925,0.010238330555341905,-0.759417571736653
equilibrium_dt1e-3:real,3.5500000000000003,0.03855152466687955,0.01031284849670851,-0.6273952425439335
equilibrium_dt1e-3:real,3.7600000000000002,0.03442445379165197,0.010318192671578984,-0.5550029504029143
equilibrium_dt1e-3:real,3.98,0.03093582325175402,0.010411938759026821,-0.5118822869857139
equilibrium_dt1e-3:real,4.22,0.027233658377144435,0.010809163797393849,-0.5056991031389362
equilibrium_dt1e-3:real,4.47,0.024072351604113154,0.011550220063744232,-0.6685669523683935
equilibrium_dt1e-3:real,4.73,0.02107819403049417,0.011708458952243527,-0.8602440817780777
equilibrium_dt1e-3:real,5.01,0.015538034859066215,0.011968727299672707,-0.8985621948320781
equilibrium_dt1e-3:real,5.3100000000000005,0.010663083112712005,0.0120206795683885,-0.9870148920260619
equilibrium_dt1e-3:real,5.62,0.008565285131372674,0.01167349383577894,-0.9407598985477361
equilibrium_dt1e-3:real,5.96,0.0062601912178839505,0.01107280628497918,-0.7084547789247211
equilibrium_dt1e-3:real,6.3100000000000005,0.004573610843643049,0.010934041950793496,-1.7482687901165548
equilibrium_dt1e-3:real,6.68,0.004039837839278021,0.010052237783481233,nan
equilibrium_dt1e-3:real,7.08,0.0006671402321549273,0.009287420204605653,nan
equilibrium_dt1e-3:real,7.5,-0.0015419198097814286,0.00880155994781088,-1.400184674567877
equilibrium_dt1e-3:real,7.94,-0.0012331348133066621,0.0073734056501192375,0.9762725627657975
equilibrium_dt1e-3:real,8.41,0.0003583966537257984,0.0065070840177588575,nan
equilibrium_dt1e-3:real,8.91,0.0039821575794818445,0.006465271676672322,nan
equilibrium_dt1e-3:real,9.44,0.007328675721666268,0.00800515414553734,nan
equilibrium_dt1e-3:real,10.0,0.0059804522410433665,0.008242631669765013,nan
equilibrium_dt2p5e-4:complex,0.05,0.38528784978355046,0.008299792455184975,0.37806901253312897
equilibrium_dt2p5e-4:complex,0.06,0.36117239100951776,0.007969524078489094,0.35715455626546316
equilibrium_dt2p5e-4:complex,0.07,0.3396669784648275,0.008040930568361195,0.33652369033814117
equilibrium_dt2p5e-4:complex,0.08,0.3170625501967632,0.00748626900346402,0.3162640361275773
equilibrium_dt2p5e-4:complex,0.09,0.29527166936748084,0.00700077666227448,0.29645120759019916
equilibrium_dt2p5e-4:complex,0.1,0.27540930149693316,0.0067940216095814954,0.2771497239546421
equilibrium_dt2p5e-4:complex,0.11,0.25558964367866294,0.006386330828973325,0.2584138840185494
equilibrium_dt2p5e-4:complex,0.12,0.23753482760247852,0.006096636026835049,0.24028860130403057
equilibrium_dt2p5e-4:complex,0.13,0.22001096312486387,0.005809930286766234,0.22281019963651177
equilibrium_dt2p5e-4:complex,0.14,0.20313685655575997,0.005440848540855343,0.20600716898995852
equilibrium_dt2p5e-4:complex,0.15,0.18779508333101036,0.005297033440876743,0.18990088168930852
equilibrium_dt2p5e-4:complex,0.16,0.1725423924607876,0.005034903136271393,0.17450626928040286
equilibrium_dt2p5e-4:complex,0.17,0.15866394672458578,0.004873273501033062,0.1598324605706673
equilibrium_dt2p5e-4:complex,0.18,0.14510185930352343,0.004632309342571927,0.14588338151213665
equilibrium_dt2p5e-4:complex,0.19,0.1323237278161703,0.00452142072856907,0.13265831774393164
equilibrium_dt2p5e-4:complex,0.2,0.12011673036379714,0.004359708010198091,0.12015244073570511
equilibrium_dt2p5e-4:complex,0.21,0.10884861201194856,0.004177285456346237,0.10835729857853621
equilibrium_dt2p5e-4:complex,0.22,0.0983717875416901,0.004041190114984747,0.09726127255684254
equilibrium_dt2p5e-4:complex,0.24,0.07880814009584187,0.003911197298118431,0.077106769612993
equilibrium_dt2p5e-4:complex,0.25,0.06977746367540257,0.00393045583951511,0.06801287577069559
equilibrium_dt2p5e-4:complex,0.27,0.05330727124584854,0.003586292897762597,0.05169030093397181
equilibrium_dt2p5e-4:complex,0.28,0.04593423668912383,0.003434414596847197,0.04441711502782894
equilibrium_dt2p5e-4:complex,0.3,0.032965254276880324,0.003126232817745734,0.03152911313696195
