case,kind,replicate,observable,weight_abs
driven_dt1e-3,complex,69,cos_theta1_plus_cos_theta3,0.030276483577802497
driven_dt1e-3,complex,70,I2,0.08480975519572884
driven_dt1e-3,complex,70,I1_plus_I3,0.11313469107912796
driven_dt1e-3,complex,70,cos_theta3,0.040792102133002744
driven_dt1e-3,complex,70,cos_theta1_plus_cos_theta3,0.025924339925945113
driven_dt1e-3,complex,71,I2,0.09160669538433297
driven_dt1e-3,complex,71,I1_plus_I3,0.1092525207392673
driven_dt1e-3,complex,71,cos_theta3,0.03997870248710941
driven_dt1e-3,complex,71,cos_theta1_plus_cos_theta3,0.02736237587628971
driven_dt1e-3,complex,72,I2,0.09735982501485975
driven_dt1e-3,complex,72,I1_plus_I3,0.11885659948095229
driven_dt1e-3,complex,72,cos_theta3,0.04121713222762031
driven_dt1e-3,complex,72,cos_theta1_plus_cos_theta3,0.030137396630732317
driven_dt1e-3,complex,73,I2,0.10470022847095137
driven_dt1e-3,complex,73,I1_plus_I3,0.12187881511723667
driven_dt1e-3,complex,73,cos_theta3,0.03722140289094327
driven_dt1e-3,complex,73,cos_theta1_plus_cos_theta3,0.026403967334874653
driven_dt1e-3,complex,74,I2,0.09161348271907577
driven_dt1e-3,complex,74,I1_plus_I3,0.09667593465910597
driven_dt1e-3,complex,74,cos_theta3,0.03357430042126045
driven_dt1e-3,complex,74,cos_theta1_plus_cos_theta3,0.02558654255839657
driven_dt1e-3,complex,75,I2,0.08446183270839318
driven_dt1e-3,complex,75,I1_plus_I3,0.10557660303068118
driven_dt1e-3,complex,75,cos_theta3,0.039048893186508116
driven_dt1e-3,complex,75,cos_theta1_plus_cos_theta3,0.03028259437880708
driven_dt1e-3,complex,76,I2,0.09533648755152654
driven_dt1e-3,complex,76,I1_plus_I3,0.10564297861369777
driven_dt1e-3,complex,76,cos_theta3,0.03939341693367884
driven_dt1e-3,complex,76,cos_theta1_plus_cos_theta3,0.026190699441923062
driven_dt1e-3,complex,77,I2,0.08307552833927737
driven_dt1e-3,complex,77,I1_plus_I3,0.10145962577702444
driven_dt1e-3,complex,77,cos_theta3,0.039044735035530985
driven_dt1e-3,complex,77,cos_theta1_plus_cos_theta3,0.026021003780023727
driven_dt1e-3,complex,78,I2,0.10079430270731078
driven_dt1e-3,complex,78,I1_plus_I3,0.10814668634395248
driven_dt1e-3,complex,78,cos_theta3,0.040047756169217366
driven_dt1e-3,complex,78,cos_theta1_plus_cos_theta3,0.027743292337423106
driven_dt1e-3,complex,79,I2,0.09052622104588455
driven_dt1e-3,complex,79,I1_plus_I3,0.104552179252639
driven_dt1e-3,complex,79,cos_theta3,0.03650713353277495
driven_dt1e-3,complex,79,cos_theta1_plus_cos_theta3,0.023725864798712804
driven_dt1e-3,complex,80,I2,0.09860131466636067
driven_dt1e-3,complex,80,I1_plus_I3,0.10553536922442106
driven_dt1e-3,complex,80,cos_theta3,0.042155526849482476
driven_dt1e-3,complex,80,cos_theta1_plus_cos_theta3,0.02635069886281624
driven_dt1e-3,complex,81,I2,0.10416079344714711
driven_dt1e-3,complex,81,I1_plus_I3,0.10466168091030731
driven_dt1e-3,complex,81,cos_theta3,0.04332608067700947
driven_dt1e-3,complex,81,cos_theta1_plus_cos_theta3,0.03170163093964544
driven_dt1e-3,complex,82,I2,0.09478452762265129
driven_dt1e-3,complex,82,I1_plus_I3,0.12312020195088301
driven_dt1e-3,complex,82,cos_theta3,0.04306137718743227
driven_dt1e-3,complex,82,cos_theta1_plus_cos_theta3,0.03338889289892929
driven_dt1e-3,complex,83,I2,0.09401040641873558
driven_dt1e-3,complex,83,I1_plus_I3,0.09472458166009648
driven_dt1e-3,complex,83,cos_theta3,0.0395975150813151
driven_dt1e-3,complex,83,cos_theta1_plus_cos_theta3,0.024887503341904274
driven_dt1e-3,complex,84,I2,0.09621474530745493
driven_dt1e-3,complex,84,I1_plus_I3,0.10256715947555713
driven_dt1e-3,complex,84,cos_theta3,0.041201368898516534
driven_dt1e-3,complex,84,cos_theta1_plus_cos_theta3,0.02603978403932733
driven_dt1e-3,complex,85,I2,0.10198754140219009
driven_dt1e-3,complex,85,I1_plus_I3,0.09665173144138904
driven_dt1e-3,complex,85,cos_theta3,0.037535535009889064
driven_dt1e-3,complex,85,cos_theta1_plus_cos_theta3,0.022554185572140187
driven_dt1e-3,complex,86,I2,0.09837392755969267
driven_dt1e-3,complex,86,I1_plus_I3,0.12022601501959362
driven_dt1e-3,complex,86,cos_theta3,0.04246325258294001
driven_dt1e-3,complex,86,cos_theta1_plus_cos_theta3,0.03208489955271475
driven_dt1e-3,complex,87,I2,0.0893541712243776
driven_dt1e-3,complex,87,I1_plus_I3,0.11170724778357698
driven_dt1e-3,complex,87,cos_theta3,0.04068672271232729
driven_dt1e-3,complex,87,cos_theta1_plus_cos_theta3,0.03290324368843639
driven_dt1e-3,complex,88,I2,0.10168651892324361
driven_dt1e-3,complex,88,I1_plus_I3,0.10438787753895215
driven_dt1e-3,complex,88,cos_theta3,0.04394638149648759
driven_dt1e-3,complex,88,cos_theta1_plus_cos_theta3,0.03224182724562811
driven_dt1e-3,complex,89,I2,0.09641244417886771
driven_dt1e-3,complex,89,I1_plus_I3,0.10240790799707648
driven_dt1e-3,complex,89,cos_theta3,0.04461697172169859
driven_dt1e-3,complex,89,cos_theta1_plus_cos_theta3,0.03518606921811202
driven_dt1e-3,complex,90,I2,0.10484804147354587
driven_dt1e-3,complex,90,I1_plus_I3,0.1189789683750625
driven_dt1e-3,complex,90,cos_theta3,0.0463936157634233
driven_dt1e-3,complex,90,cos_theta1_plus_cos_theta3,0.03137955479820355
driven_dt1e-3,complex,91,I2,0.09433385273413028
driven_dt1e-3,complex,91,I1_plus_I3,0.10643372685716601
driven_dt1e-3,complex,91,cos_theta3,0.04183024295948089
driven_dt1e-3,complex,91,cos_theta1_plus_cos_theta3,0.028452331911053404
driven_dt1e-3,complex,92,I2,0.09146885955488089
driven_dt1e-3,complex,92,I1_plus_I3,0.10592131295833396
driven_dt1e-3,complex,92,cos_theta3,0.039324191624505275
driven_dt1e-3,complex,92,cos_theta1_plus_cos_theta3,0.03139244572506194
driven_dt1e-3,complex,93,I2,0.0935866738816143
driven_dt1e-3,complex,93,I1_plus_I3,0.1079545694500907
driven_dt1e-3,complex,93,cos_theta3,0.03785929073281172
driven_dt1e-3,complex,93,cos_theta1_plus_cos_theta3,0.02536060246143642
driven_dt1e-3,complex,94,I2,0.10124025864924914
driven_dt1e-3,complex,94,I1_plus_I3,0.10916921360647441
driven_dt1e-3,complex,94,cos_theta3,0.03772093053480717
driven_dt1e-3,complex,94,cos_theta1_plus_cos_theta3,0.023123278601215554
driven_dt1e-3,complex,95,I2,0.10178457423716983
driven_dt1e-3,complex,95,I1_plus_I3,0.12139611790654319
driven_dt1e-3,complex,95,cos_theta3,0.041691714636796724
driven_dt1e-3,complex,95,cos_theta1_plus_cos_theta3,0.031175639614142867
driven_dt1e-3,complex,96,I2,0.09568478523201963
driven_dt1e-3,complex,96,I1_plus_I3,0.10200617563604479
driven_dt1e-3,complex,96,cos_theta3,0.04324209195833393
driven_dt1e-3,complex,96,cos_theta1_plus_cos_theta3,0.028189171502285996
driven_dt1e-3,complex,97,I2,0.11363550966961869
driven_dt1e-3,complex,97,I1_plus_I3,0.1099768892347106
driven_dt1e-3,complex,97,cos_theta3,0.04465391074029994
driven_dt1e-3,complex,97,cos_theta1_plus_cos_theta3,0.028920168227646415
driven_dt1e-3,complex,98,I2,0.0922456037840042
driven_dt1e-3,complex,98,I1_plus_I3,0.09540181747272806
driven_dt1e-3,complex,98,cos_theta3,0.04106932826740693
driven_dt1e-3,complex,98,cos_theta1_plus_cos_theta3,0.025288818542954297
driven_dt1e-3,complex,99,I2,0.08976560661529497
driven_dt1e-3,complex,99,I1_plus_I3,0.09226202645819405
driven_dt1e-3,complex,99,cos_theta3,0.03867745068733772
driven_dt1e-3,complex,99,cos_theta1_plus_cos_theta3,0.025211767180969357
driven_dt1e-3,complex,100,I2,0.09804906510325016
driven_dt1e-3,complex,100,I1_plus_I3,0.10559111795152952
driven_dt1e-3,complex,100,cos_theta3,0.04051531835834584
driven_dt1e-3,complex,100,cos_theta1_plus_cos_theta3,0.025696229407163304
driven_dt1e-3,complex,101,I2,0.0916378303042037
driven_dt1e-3,complex,101,I1_plus_I3,0.10092603311407707
driven_dt1e-3,complex,101,cos_theta3,0.035964047991447194
driven_dt1e-3,complex,101,cos_theta1_plus_cos_theta3,0.027104037445501335
driven_dt1e-3,complex,102,I2,0.09104424857030828
driven_dt1e-3,complex,102,I1_plus_I3,0.10710459746532959
driven_dt1e-3,complex,102,cos_theta3,0.038633677688445105
driven_dt1e-3,complex,102,cos_theta1_plus_cos_theta3,0.024828480298547655
driven_dt1e-3,complex,103,I2,0.08688952656089001
driven_dt1e-3,complex,103,I1_plus_I3,0.1048745039862839
driven_dt1e-3,complex,103,cos_theta3,0.03980815278522254
driven_dt1e-3,complex,103,cos_theta1_plus_cos_theta3,0.029033117580912406
driven_dt1e-3,complex,104,I2,0.09480122113347965
driven_dt1e-3,complex,104,I1_plus_I3,0.10905251985785126
driven_dt1e-3,complex,104,cos_theta3,0.03806748127184505
driven_dt1e-3,complex,104,cos_theta1_plus_cos_theta3,0.024051474052713028
driven_dt1e-3,complex,105,I2,0.08333467019242746
driven_dt1e-3,complex,105,I1_plus_I3,0.1039249779228463
