case,stream_order,stream_id,observable,mean
equilibrium_dt1e-3,9,36,I1_plus_I3,2.920526922970689
equilibrium_dt1e-3,9,36,cos_theta3,-0.1687470137237728
equilibrium_dt1e-3,9,36,cos_theta1_plus_cos_theta3,-0.3789607993104295
equilibrium_dt1e-3,10,37,I2,1.684373181907637
equilibrium_dt1e-3,10,37,I1_plus_I3,2.9946910259953503
equilibrium_dt1e-3,10,37,cos_theta3,-0.18189442389929472
equilibrium_dt1e-3,10,37,cos_theta1_plus_cos_theta3,-0.3660819415687028
equilibrium_dt1e-3,11,39,I2,1.6499697267565567
equilibrium_dt1e-3,11,39,I1_plus_I3,2.7825014692948393
equilibrium_dt1e-3,11,39,cos_theta3,-0.15275880222473828
equilibrium_dt1e-3,11,39,cos_theta1_plus_cos_theta3,-0.32284745964283923
equilibrium_dt1e-3,12,43,I2,1.6262929942270612
equilibrium_dt1e-3,12,43,I1_plus_I3,2.8865441539390364
equilibrium_dt1e-3,12,43,cos_theta3,-0.16844393943404828
equilibrium_dt1e-3,12,43,cos_theta1_plus_cos_theta3,-0.3412163162480833
equilibrium_dt1e-3,13,46,I2,1.7913132676605348
equilibrium_dt1e-3,13,46,I1_plus_I3,3.0862244764860907
equilibrium_dt1e-3,13,46,cos_theta3,-0.17348279330405317
equilibrium_dt1e-3,13,46,cos_theta1_plus_cos_theta3,-0.34559599570814503
equilibrium_dt1e-3,14,58,I2,1.6076638121222973
equilibrium_dt1e-3,14,58,I1_plus_I3,2.968848303524214
equilibrium_dt1e-3,14,58,cos_theta3,-0.16569564772900316
equilibrium_dt1e-3,14,58,cos_theta1_plus_cos_theta3,-0.35474556844586946
equilibrium_dt1e-3,15,61,I2,1.6194577028426504
equilibrium_dt1e-3,15,61,I1_plus_I3,2.956184825183577
equilibrium_dt1e-3,15,61,cos_theta3,-0.1916590929667034
equilibrium_dt1e-3,15,61,cos_theta1_plus_cos_theta3,-0.35692553899207674
equilibrium_dt1e-3,16,63,I2,1.6625651035368636
equilibrium_dt1e-3,16,63,I1_plus_I3,3.0009506371515258
equilibrium_dt1e-3,16,63,cos_theta3,-0.18082786258898012
equilibrium_dt1e-3,16,63,cos_theta1_plus_cos_theta3,-0.3637485725883675
equilibrium_dt2p5e-4,1,0,I2,1.6663602403576183
equilibrium_dt2p5e-4,1,0,I1_plus_I3,2.988769811249681
equilibrium_dt2p5e-4,1,0,cos_theta3,-0.1764725392614536
equilibrium_dt2p5e-4,1,0,cos_theta1_plus_cos_theta3,-0.3311998481641607
equilibrium_dt2p5e-4,2,1,I2,1.6383293704081805
equilibrium_dt2p5e-4,2,1,I1_plus_I3,2.9737268177474587
equilibrium_dt2p5e-4,2,1,cos_theta3,-0.19509309485295195
equilibrium_dt2p5e-4,2,1,cos_theta1_plus_cos_theta3,-0.3914131383644652
equilibrium_dt2p5e-4,3,2,I2,1.6085557947755973
equilibrium_dt2p5e-4,3,2,I1_plus_I3,2.923162812477306
equilibrium_dt2p5e-4,3,2,cos_theta3,-0.1869226221330428
equilibrium_dt2p5e-4,3,2,cos_theta1_plus_cos_theta3,-0.3955465322471431
equilibrium_dt2p5e-4,4,12,I2,1.6333507324433814
equilibrium_dt2p5e-4,4,12,I1_plus_I3,2.8992930748563177
equilibrium_dt2p5e-4,4,12,cos_theta3,-0.18344718972101456
equilibrium_dt2p5e-4,4,12,cos_theta1_plus_cos_theta3,-0.37219620024300737
