bin_left,bin_right,bin_center,forward_count,reverse_mirror_count,log_probability_ratio,standard_error,accepted
1.3246202079961464,1.3736802156997077,1.349150211847927,734,188,1.3620670657845664,0.08174072887082486,1
1.3736802156997077,1.4227402234032684,1.398210219551488,612,181,1.2182352512465002,0.08460998053750877,1
1.4227402234032684,1.4718002311068297,1.447270227255049,515,125,1.415853163361435,0.09970831245596093,1
1.4718002311068297,1.5208602388103905,1.49633023495861,515,106,1.5807278065516692,0.10665697275362017,1
1.5208602388103905,1.5699202465139517,1.545390242662171,451,100,1.506297153514587,0.11053187277985355,1
1.5699202465139517,1.6189802542175125,1.594450250365732,355,65,1.697730519579779,0.13491299712431745,1
1.6189802542175125,1.6680402619210737,1.643510258069293,329,70,1.547562508716013,0.13162533176986044,1
1.6680402619210737,1.7171002696246345,1.692570265772854,290,46,1.8412395264914247,0.1587054072703623,0
1.7171002696246345,1.7661602773281952,1.7416302734764149,290,44,1.8856912890622586,0.16178859227195747,0
1.7661602773281952,1.8152202850317565,1.7906902811799759,218,33,1.8879875013226086,0.18678914922000436,0
1.8152202850317565,1.8642802927353173,1.8397502888835369,192,22,2.166452918669466,0.22508415934463,0
1.8642802927353173,1.9133403004388785,1.8888102965870979,182,26,1.9459101490553135,0.20965696734438366,0
1.9133403004388785,1.9624003081424393,1.9378703042906589,135,21,1.8607523407150064,0.23457718351633225,0
