# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091426 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
phase,checkpoint,absolute_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
measurement,2,3000,19,0.45754147865636696,0.033941518609564798,0.012057907228154363,0.043471085772842463,256
measurement,2,3000,20,0.42592646422485814,0.027264896402772593,0.042118509038800767,0.043259275138849834,256
measurement,2,3000,21,0.50819260053958715,0.0345732645886846,0.025005013586451241,0.042862884762566125,256
measurement,2,3000,22,0.53690460433608678,0.034120482198489274,0.056889305097456599,0.043615283696952882,256
measurement,2,3000,23,0.47714861728127289,0.031324136928306386,0.048584782876787358,0.043670964105914992,256
measurement,2,3000,24,0.47623482529752437,0.037010813832159282,-0.038078467963259754,0.043414532411049332,256
measurement,2,3000,25,0.48361763946741121,0.030022090356314701,,,256
burnin,3,1500,1,0.49846259881633159,0.029082000116801263,-0.033076122205670799,0.044481425249160988,256
burnin,3,1500,2,0.44944885246303556,0.026959031500606977,-0.064334712968957319,0.043929268486877039,256
burnin,3,1500,3,0.46398077709005747,0.029712664857399065,-0.12517276859489357,0.041439647014739935,256
burnin,3,1500,4,0.50389252106560889,0.029128620892244911,-0.043029403801483568,0.043502407849156301,256
burnin,3,1500,5,0.46970357697500731,0.028104937006728836,0.0030162771108734887,0.043848221543433152,256
burnin,3,1500,6,0.45035628944879136,0.030631339809121232,0.037911205000909831,0.044897206030346519,256
burnin,3,1500,7,0.52961199786750512,0.031533875415991723,0.085698069075988315,0.043272538760858813,256
burnin,3,1500,8,0.47604612304257898,0.030210742509244402,-0.031268706558876147,0.044512177400406722,256
burnin,3,1500,9,0.51131219897843039,0.036448201353873097,-0.11849923290355946,0.043634858930533364,256
burnin,3,1500,10,0.48111925924463605,0.031758670898051483,-0.048777194966532988,0.042830830028663745,256
burnin,3,1500,11,0.49741581044690975,0.035295946101941159,-0.029809597178427794,0.04371286694646128,256
burnin,3,1500,12,0.48795527223137469,0.030801293933532002,-0.017274155885957043,0.044425006239879022,256
burnin,3,1500,13,0.4965233360107959,0.033308854672840837,-0.041895899305018247,0.042356483761045859,256
burnin,3,1500,14,0.52884771394025165,0.034287047381809363,-0.069828666274133866,0.042681600339363093,256
burnin,3,1500,15,0.4833722514067631,0.030530734405756099,-0.020471035495575052,0.044416703072195939,256
burnin,3,1500,16,0.45803799852774318,0.03088222926140629,-0.0036242400241803807,0.04428287017932394,256
burnin,3,1500,17,0.5233257163554299,0.036149942975134443,-0.065110551920952275,0.044687613644768802,256
burnin,3,1500,18,0.47190969790244708,0.030403554345141602,0.040363268413784681,0.04298319611249872,256
burnin,3,1500,19,0.48086914962323135,0.03648380287694513,-0.041900540505594108,0.042679232006087434,256
burnin,3,1500,20,0.52233831127750818,0.042806124855641323,-0.047081089297535073,0.04230678392261663,256
burnin,3,1500,21,0.50059445239276101,0.0326834394501117,-0.026280219597083487,0.041955900720514576,256
burnin,3,1500,22,0.51309102163838816,0.036303206204045951,0.014809132171649253,0.04438882014547977,256
burnin,3,1500,23,0.60142639943251197,0.041512932325207766,0.016235405421866744,0.042566919746482135,256
burnin,3,1500,24,0.51487086635506785,0.038216288332775246,0.02319728129896248,0.045007648727302396,256
burnin,3,1500,25,0.43599588763231623,0.031629814035121467,,,256
measurement,3,3500,1,0.4701335868907604,0.027869545828547084,0.029890007088397397,0.045206562088455499,256
measurement,3,3500,2,0.45107194956653984,0.026473225790223404,-0.11951096231132396,0.044671692105368366,256
measurement,3,3500,3,0.47206827079207869,0.031780214118938159,-0.023265462386916624,0.045028328241116564,256
measurement,3,3500,4,0.49050528715724795,0.035508927701951513,-0.084812081482596113,0.043656345036820275,256
measurement,3,3500,5,0.48982316578803875,0.032248022798143663,-0.011561945993889822,0.043531148264949186,256
measurement,3,3500,6,0.51258822113504721,0.032158120558593628,-0.04116011479345616,0.043346159936807571,256
measurement,3,3500,7,0.46131293536495832,0.032993041318533388,-0.0051012252083069143,0.044315425257910435,256
measurement,3,3500,8,0.44048908241529716,0.029285135463868947,-0.0035353382991161197,0.044190187381966034,256
measurement,3,3500,9,0.47627590280808363,0.031404834094677668,0.017494147305114893,0.045357362948019668,256
