# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=100 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026091501 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,z_delta_I,mean_sin_q3,mean_sin_q4,mean_delta_sin_q4_minus_q3,se_delta_sin,z_delta_sin,sample_count
46,0.24911515483875682,0.25018354239454421,0.001068387555787319,0.0061807329361871204,0.0042795527475134069,0.17285774467492276,0.0014857631174080761,0.0015820369828820739,9.6273865473998042e-05,0.0030756217181789566,0.031302245300504898,256
47,0.24902046523607957,0.25167073264239814,0.0026502674063185847,0.0058441658437143823,0.010586434982473284,0.45348942470019837,-0.0012538085641919847,0.0011963570029319486,0.0024501655671239331,0.0028583336366455945,0.85720069053916736,256
48,0.25054669905842941,0.24975217094033472,-0.00079452811809473665,0.0056968062461871709,-0.0031762139222768953,-0.13946904348844727,-0.001711884382350429,0.0012291146375161439,0.0029409990198665712,0.0031296209692572336,0.93973009791168771,256
49,0.25044722526300273,0.25225589214109434,0.0018086668780916634,0.0056652514059875115,0.0071957655143712572,0.31925624274681136,-0.0006870672774103644,-0.00057729341819136705,0.00010977385921899616,0.0028057505014309498,0.039124597558838826,256
50,0.25485943913198816,0.25478503064339353,-7.4408488594622426e-05,0.0060518154058642618,-0.00029200155405362043,-0.012295234339520658,-0.0019308145915701909,0.0014957724868595156,0.0034265870784297033,0.0029275098624585248,1.1704784063654881,256
51,0.25530468354092423,0.25365627817830477,-0.0016484053626195122,0.0060375500801291056,-0.0064775316246312182,-0.27302553862779105,-0.005387816574509042,0.0032699193065669038,0.0086577358810759428,0.0026591758198341812,3.2557967083258958,256
52,0.25733063531600459,0.25426653492548273,-0.0030641003905217731,0.0061127701287895676,-0.011978566609644995,-0.50126216526459122,-0.00078010276246020854,0.0057106587161051062,0.0064907614785653057,0.0030654545662283806,2.1173895545779668,256
53,0.26002799749875177,0.25427865263801219,-0.0057493448607395317,0.0061600889156913103,-0.022357653198575876,-0.93332173275851438,-0.0012168658208178049,0.0025173625268322041,0.0037342283476500095,0.0029420477264634265,1.2692616486337041,256
54,0.26128524799393016,0.25360172557728272,-0.0076835224166473034,0.0063602460737730302,-0.029845472156170647,-1.2080542682665858,0.00038170206350926793,0.001360899457754921,0.00097919739424565198,0.0029194681420082864,0.33540266466893776,256
55,0.26214298899036464,0.25900802306226539,-0.0031349659280994905,0.0068270492425189771,-0.012030930980070308,-0.45919779054395421,0.0017756829235888514,0.0040183990825507507,0.002242716158961901,0.0028693560017557084,0.78160958681656179,256
