theta1,theta3,pdf,log_pdf
-1.15192,1.15192,0.0165926,-4.0988
-1.15192,1.36136,0.0175406,-4.04324
-1.15192,1.5708,0.018691,-3.97971
-1.15192,1.78024,0.0200771,-3.90818
-1.15192,1.98968,0.0216893,-3.83094
-1.15192,2.19911,0.0235529,-3.74851
-1.15192,2.40855,0.0255098,-3.66869
-1.15192,2.61799,0.0274049,-3.59703
-1.15192,2.82743,0.029003,-3.54036
-1.15192,3.03687,0.0299874,-3.50698
-0.942478,-3.03687,0.0284985,-3.5579
-0.942478,-2.82743,0.0277463,-3.58465
-0.942478,-2.61799,0.0263965,-3.63452
-0.942478,-2.40855,0.0247377,-3.69943
-0.942478,-2.19911,0.0229887,-3.77275
-0.942478,-1.98968,0.0211836,-3.85453
-0.942478,-1.78024,0.0194847,-3.93813
-0.942478,-1.5708,0.0180507,-4.01457
-0.942478,-1.36136,0.0168894,-4.08107
-0.942478,-1.15192,0.0159448,-4.13862
-0.942478,-0.942478,0.0152218,-4.18502
-0.942478,-0.733038,0.0146415,-4.2239
-0.942478,-0.523599,0.0142289,-4.25248
-0.942478,-0.314159,0.013969,-4.27091
-0.942478,-0.10472,0.0138197,-4.28166
-0.942478,0.10472,0.0138272,-4.28112
-0.942478,0.314159,0.0139488,-4.27236
-0.942478,0.523599,0.014205,-4.25416
-0.942478,0.733038,0.0145922,-4.22727
-0.942478,0.942478,0.0151235,-4.19151
-0.942478,1.15192,0.0158334,-4.14564
-0.942478,1.36136,0.016715,-4.09145
-0.942478,1.5708,0.0178214,-4.02735
-0.942478,1.78024,0.0191051,-3.9578
-0.942478,1.98968,0.0206394,-3.88055
-0.942478,2.19911,0.0223757,-3.79978
-0.942478,2.40855,0.0242242,-3.7204
-0.942478,2.61799,0.0259939,-3.6499
-0.942478,2.82743,0.0274953,-3.59374
-0.942478,3.03687,0.0283886,-3.56177
-0.733038,-3.03687,0.0272822,-3.60152
-0.733038,-2.82743,0.0265759,-3.62775
-0.733038,-2.61799,0.0253178,-3.67625
-0.733038,-2.40855,0.023702,-3.74219
-0.733038,-2.19911,0.0220347,-3.81514
-0.733038,-1.98968,0.0203068,-3.8968
-0.733038,-1.78024,0.0186901,-3.97976
-0.733038,-1.5708,0.0173361,-4.05497
-0.733038,-1.36136,0.0162174,-4.12167
-0.733038,-1.15192,0.0153366,-4.17752
-0.733038,-0.942478,0.014643,-4.22379
-0.733038,-0.733038,0.0141077,-4.26103
-0.733038,-0.523599,0.0137263,-4.28844
-0.733038,-0.314159,0.0134746,-4.30695
-0.733038,-0.10472,0.0133341,-4.31743
-0.733038,0.10472,0.0133429,-4.31677
-0.733038,0.314159,0.0134627,-4.30783
-0.733038,0.523599,0.0137089,-4.28971
-0.733038,0.733038,0.0140887,-4.26238
-0.733038,0.942478,0.0145924,-4.22725
-0.733038,1.15192,0.0152712,-4.18179
-0.733038,1.36136,0.0161101,-4.12831
-0.733038,1.5708,0.0171433,-4.06615
-0.733038,1.78024,0.018368,-3.99714
-0.733038,1.98968,0.0198243,-3.92085
-0.733038,2.19911,0.0214847,-3.84041
-0.733038,2.40855,0.0232162,-3.7629
-0.733038,2.61799,0.0249155,-3.69227
-0.733038,2.82743,0.0263335,-3.63691
-0.733038,3.03687,0.0271956,-3.6047
-0.523599,-3.03687,0.0264279,-3.63334
-0.523599,-2.82743,0.0257488,-3.65937
-0.523599,-2.61799,0.0245052,-3.70887
-0.523599,-2.40855,0.0229709,-3.77353
-0.523599,-2.19911,0.0213394,-3.8472
-0.523599,-1.98968,0.0196721,-3.92855
-0.523599,-1.78024,0.0181299,-4.01019
-0.523599,-1.5708,0.0168191,-4.08524
-0.523599,-1.36136,0.0157433,-4.15134
-0.523599,-1.15192,0.0148974,-4.20657
-0.523599,-0.942478,0.0142432,-4.25147
-0.523599,-0.733038,0.0137168,-4.28914
-0.523599,-0.523599,0.0133514,-4.31613
-0.523599,-0.314159,0.0131125,-4.33419
-0.523599,-0.10472,0.0129975,-4.343
-0.523599,0.10472,0.0130024,-4.34262
-0.523599,0.314159,0.0131013,-4.33504
-0.523599,0.523599,0.013336,-4.31729
-0.523599,0.733038,0.0137028,-4.29015
-0.523599,0.942478,0.0142013,-4.25442
-0.523599,1.15192,0.0148525,-4.20959
-0.523599,1.36136,0.0156721,-4.15588
-0.523599,1.5708,0.0166701,-4.09414
-0.523599,1.78024,0.017861,-4.02513
-0.523599,1.98968,0.0192718,-3.94911
-0.523599,2.19911,0.020833,-3.87122
-0.523599,2.40855,0.0225045,-3.79404
-0.523599,2.61799,0.0241468,-3.7236
-0.523599,2.82743,0.0255019,-3.669
-0.523599,3.03687,0.0263411,-3.63663
-0.314159,-3.03687,0.0258454,-3.65562
-0.314159,-2.82743,0.0251773,-3.68181
-0.314159,-2.61799,0.023999,-3.72974
-0.314159,-2.40855,0.0224976,-3.79435
