theta1,theta3,diff
0.523599,0.942478,-0.00160441
0.523599,1.15192,-0.00184486
0.523599,1.36136,-0.00197182
0.523599,1.5708,-0.00208806
0.523599,1.78024,-0.00199082
0.523599,1.98968,-0.00200103
0.523599,2.19911,-0.00200289
0.523599,2.40855,-0.00174332
0.523599,2.61799,-0.000855113
0.523599,2.82743,-0.000308673
0.523599,3.03687,-0.000393613
0.733038,-3.03687,0.000256644
0.733038,-2.82743,0.000506059
0.733038,-2.61799,9.9467e-06
0.733038,-2.40855,-0.000789478
0.733038,-2.19911,-0.00163774
0.733038,-1.98968,-0.00215127
0.733038,-1.78024,-0.00194281
0.733038,-1.5708,-0.00208232
0.733038,-1.36136,-0.00196561
0.733038,-1.15192,-0.00210727
0.733038,-0.942478,-0.00175982
0.733038,-0.733038,-0.00174071
0.733038,-0.523599,-0.00160218
0.733038,-0.314159,-0.0014805
0.733038,-0.10472,-0.00144261
0.733038,0.10472,-0.00154549
0.733038,0.314159,-0.00154798
0.733038,0.523599,-0.00159456
0.733038,0.733038,-0.00169211
0.733038,0.942478,-0.00176141
0.733038,1.15192,-0.00199816
0.733038,1.36136,-0.00199049
0.733038,1.5708,-0.00226408
0.733038,1.78024,-0.00191987
0.733038,1.98968,-0.00207514
0.733038,2.19911,-0.00187138
0.733038,2.40855,-0.000865456
0.733038,2.61799,-0.000444202
0.733038,2.82743,-0.000301087
0.733038,3.03687,0.000246438
0.942478,-3.03687,0.000608507
0.942478,-2.82743,0.00093437
0.942478,-2.61799,0.00070355
0.942478,-2.40855,-0.000584647
0.942478,-2.19911,-0.00160546
0.942478,-1.98968,-0.00188464
0.942478,-1.78024,-0.00232482
0.942478,-1.5708,-0.0022888
0.942478,-1.36136,-0.00215141
0.942478,-1.15192,-0.00198823
0.942478,-0.942478,-0.00178735
0.942478,-0.733038,-0.00175761
0.942478,-0.523599,-0.00196934
0.942478,-0.314159,-0.00165782
0.942478,-0.10472,-0.00163238
0.942478,0.10472,-0.00163709
0.942478,0.314159,-0.00176632
0.942478,0.523599,-0.00156785
0.942478,0.733038,-0.00189591
0.942478,0.942478,-0.00176695
0.942478,1.15192,-0.0018815
0.942478,1.36136,-0.0023326
0.942478,1.5708,-0.00228335
0.942478,1.78024,-0.00195128
0.942478,1.98968,-0.00194413
0.942478,2.19911,-0.00133945
0.942478,2.40855,-0.000883082
0.942478,2.61799,2.87799e-05
0.942478,2.82743,0.000319146
0.942478,3.03687,0.000671569
1.15192,-3.03687,0.000937279
1.15192,-2.82743,0.00168747
1.15192,-2.61799,0.000720384
1.15192,-2.40855,-5.94535e-05
1.15192,-2.19911,-0.00101237
1.15192,-1.98968,-0.0016466
1.15192,-1.78024,-0.00228552
1.15192,-1.5708,-0.00208861
1.15192,-1.36136,-0.00213753
1.15192,-1.15192,-0.00208375
1.15192,-0.942478,-0.00171197
1.15192,-0.733038,-0.00192982
1.15192,-0.523599,-0.00218737
1.15192,-0.314159,-0.00174775
1.15192,-0.10472,-0.00176516
1.15192,0.10472,-0.00166144
1.15192,0.314159,-0.00189198
1.15192,0.523599,-0.00186562
1.15192,0.733038,-0.00215262
1.15192,0.942478,-0.00235429
1.15192,1.15192,-0.00215058
1.15192,1.36136,-0.0020863
1.15192,1.5708,-0.00184812
1.15192,1.78024,-0.00195866
1.15192,1.98968,-0.00155382
1.15192,2.19911,-0.00119761
1.15192,2.40855,-0.00096664
1.15192,2.61799,-0.000116126
1.15192,2.82743,-0.000138813
1.15192,3.03687,0.000989435
1.36136,-3.03687,0.00182864
1.36136,-2.82743,0.00205666
1.36136,-2.61799,0.00205556
