case,delta_beta,t,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
dbeta_0p057143,0.05714285714285716,20,38,49.83305244976076,8367,550,2.722132398069082,0.04401930223087305
dbeta_0p057143,0.05714285714285716,20,39,51.14444856685972,7941,492,2.781315774402903,0.046459111587989654
dbeta_0p057143,0.05714285714285716,20,40,52.45584468395869,7453,421,2.8737390811993127,0.0500946211700535
dbeta_0p057143,0.05714285714285716,20,41,53.76724080105765,6854,367,2.9272258543799836,0.05357887498433745
dbeta_0p057143,0.05714285714285716,20,42,55.07863691815662,6541,341,2.953962860677696,0.055546675346049436
dbeta_0p057143,0.05714285714285716,20,43,56.39003303525559,6063,263,3.137805973893966,0.06298584142134844
dbeta_0p057143,0.05714285714285716,20,44,57.70142915235456,5663,206,3.313832897324224,0.0709292166956522
dbeta_0p057143,0.05714285714285716,20,45,59.01282526945352,5249,187,3.3346842443977134,0.0744184524258268
dbeta_0p057143,0.05714285714285716,20,46,60.324221386552495,4970,170,3.3753766820404127,0.07799718061979699
dbeta_0p057143,0.05714285714285716,20,47,61.63561750365146,4572,162,3.340109689682317,0.0799472461429434
dbeta_0p057143,0.05714285714285716,20,48,62.947013620750425,4225,118,3.5780899153256094,0.09333414520805869
dbeta_0p057143,0.05714285714285716,20,49,64.25840973784939,3934,107,3.604583164487098,0.09797953152008589
dbeta_0p057143,0.05714285714285716,20,50,65.56980585494836,3564,102,3.5536659753064286,0.1004216370238227
dbeta_0p057143,0.05714285714285716,20,51,66.88120197204732,3305,77,3.7593863304321027,0.1152804616916064
dbeta_0p057143,0.05714285714285716,20,52,68.19259808914629,3028,56,3.99030592382219,0.13486064603098943
dbeta_0p057143,0.05714285714285716,20,53,69.50399420624527,2865,64,3.801440545789168,0.12638844939161195
dbeta_0p057143,0.05714285714285716,20,54,70.81539032334423,2699,52,3.9493928944365773,0.14000456001921843
dbeta_0p057143,0.05714285714285716,20,55,72.1267864404432,2489,52,3.868392583786165,0.14011615541754427
dbeta_0p057143,0.05714285714285716,20,56,73.43818255754216,2159,47,3.827252828804749,0.1474441356637282
dbeta_0p057143,0.05714285714285716,20,57,74.74957867464113,2086,24,4.464949805212772,0.2052950390342965
dbeta_0p057143,0.05714285714285716,20,58,76.0609747917401,1876,30,4.135699747904015,0.18402821080976975
dbeta_0p057143,0.05714285714285716,20,59,77.37237090883906,1710,18,4.553876891600541,0.23693955110363693
dbeta_0p057143,0.05714285714285716,20,60,78.68376702593804,1561,22,4.262039467157116,0.21469783521250566
dbeta_0p057143,0.05714285714285716,20,61,79.995163143037,1431,20,4.27039650600246,0.2251639669653356
dbeta_0p057143,0.05714285714285716,20,62,81.30655926013597,1318,15,4.475820513960242,0.2596639982902772
dbeta_0p057143,0.05714285714285716,40,1,1.8405958972555758,6983,6363,0.09297865961324321,0.017330998218499136
dbeta_0p057143,0.05714285714285716,40,2,3.6811917945111516,7286,6000,0.19419522935831698,0.017433192085597748
dbeta_0p057143,0.05714285714285716,40,3,5.521787691766727,7701,5566,0.32467352745341393,0.01759305262903054
dbeta_0p057143,0.05714285714285716,40,4,7.362383589022303,7944,5131,0.4371163547830437,0.01791019126267407
dbeta_0p057143,0.05714285714285716,40,5,9.20297948627788,8089,5002,0.48066728158038824,0.017987348539249246
dbeta_0p057143,0.05714285714285716,40,6,11.043575383533454,8580,4714,0.5988971089859315,0.01812964934248743
dbeta_0p057143,0.05714285714285716,40,7,12.884171280789031,8867,4310,0.7213986162822136,0.018568690761828373
dbeta_0p057143,0.05714285714285716,40,8,14.724767178044607,8897,4051,0.7867503770420767,0.018953893170505297
dbeta_0p057143,0.05714285714285716,40,9,16.565363075300183,9249,3609,0.9410847119114715,0.01962663653940156
dbeta_0p057143,0.05714285714285716,40,10,18.40595897255576,9449,3397,1.023016226622042,0.02000521673754868
dbeta_0p057143,0.05714285714285716,40,11,20.246554869811334,9584,3062,1.1410267441376016,0.02075872105124085
dbeta_0p057143,0.05714285714285716,40,12,22.08715076706691,9838,2834,1.2445632971046594,0.021319118818022908
dbeta_0p057143,0.05714285714285716,40,13,23.927746664322484,10056,2670,1.326090998875788,0.02177096584311752
dbeta_0p057143,0.05714285714285716,40,14,25.768342561578063,10171,2328,1.4745310037742678,0.022975465479295926
dbeta_0p057143,0.05714285714285716,40,15,27.608938458833638,10009,2211,1.5100397863615727,0.023498810933763267
dbeta_0p057143,0.05714285714285716,40,16,29.449534356089213,10247,1989,1.6393529799457458,0.024502137601626617
dbeta_0p057143,0.05714285714285716,40,17,31.29013025334479,10050,1775,1.7337722115777057,0.025746509846041852
dbeta_0p057143,0.05714285714285716,40,18,33.13072615060037,10138,1674,1.801074767982874,0.026382008071480688
dbeta_0p057143,0.05714285714285716,40,19,34.97132204785594,10172,1423,1.9668715284521578,0.028302822693950763
dbeta_0p057143,0.05714285714285716,40,20,36.81191794511152,10170,1299,2.057847472372006,0.029464408319803764
dbeta_0p057143,0.05714285714285716,40,21,38.65251384236709,10071,1151,2.169028876926262,0.03111438150004285
dbeta_0p057143,0.05714285714285716,40,22,40.49310973962267,9828,1010,2.2752851238057645,0.03304314016026763
dbeta_0p057143,0.05714285714285716,40,23,42.33370563687824,9873,904,2.390729677219273,0.03474882770308513
dbeta_0p057143,0.05714285714285716,40,24,44.17430153413382,9522,846,2.420840830148241,0.03587552160900151
dbeta_0p057143,0.05714285714285716,40,25,46.01489743138939,9388,709,2.5833320304387866,0.03894812185353698
dbeta_0p057143,0.05714285714285716,40,26,47.85549332864497,9291,620,2.7070819906021755,0.041479323362352674
dbeta_0p057143,0.05714285714285716,40,27,49.69608922590055,8996,557,2.7819700731519226,0.04366340174826093
dbeta_0p057143,0.05714285714285716,40,28,51.536685123156126,8730,485,2.8903717578961645,0.046651936801498844
dbeta_0p057143,0.05714285714285716,40,29,53.3772810204117,8775,448,2.9748688159190815,0.04843658711246046
dbeta_0p057143,0.05714285714285716,40,30,55.217876917667276,8436,372,3.121369687325519,0.05297840725460285
dbeta_0p057143,0.05714285714285716,40,31,57.05847281492285,7957,325,3.197982141047797,0.05659150627759424
dbeta_0p057143,0.05714285714285716,40,32,58.899068712178426,7849,291,3.294818146955321,0.059697829791179984
dbeta_0p057143,0.05714285714285716,40,33,60.739664609434,7531,233,3.4757446605356512,0.06651789221204855
dbeta_0p057143,0.05714285714285716,40,34,62.58026050668958,7274,194,3.624203466483606,0.07274692513754745
dbeta_0p057143,0.05714285714285716,40,35,64.42085640394515,6913,194,3.573300816881937,0.07279625109226372
dbeta_0p057143,0.05714285714285716,40,36,66.26145230120073,6549,158,3.7244726121910867,0.08050968259780893
dbeta_0p057143,0.05714285714285716,40,37,68.1020481984563,6313,153,3.71992835697519,0.08181901372668111
dbeta_0p057143,0.05714285714285716,40,38,69.94264409571188,6002,133,3.8094988977785587,0.08766645950478816
dbeta_0p057143,0.05714285714285716,40,39,71.78323999296745,5660,98,4.056211692526657,0.10188601512417071
dbeta_0p057143,0.05714285714285716,40,40,73.62383589022303,5342,101,3.968234876828647,0.10043996169764219
dbeta_0p057143,0.05714285714285716,40,41,75.4644317874786,4993,70,4.26729696845125,0.12035777780544078
dbeta_0p057143,0.05714285714285716,40,42,77.30502768473418,4813,52,4.527832150721682,0.13942216413470057
dbeta_0p057143,0.05714285714285716,40,43,79.14562358198977,4508,60,4.319264312937566,0.12995574065136975
dbeta_0p057143,0.05714285714285716,40,44,80.98621947924534,4213,54,4.356946215414742,0.13695210501921828
dbeta_0p057143,0.05714285714285716,40,45,82.82681537650092,4031,35,4.746421701627752,0.16976308777698826
dbeta_0p057143,0.05714285714285716,40,46,84.66741127375649,3780,32,4.771743385813907,0.17752337948718266
dbeta_0p057143,0.05714285714285716,40,47,86.50800717101207,3552,29,4.807970274125586,0.18645184405690704
dbeta_0p057143,0.05714285714285716,40,48,88.34860306826764,3328,22,5.019084348582783,0.21390424545524156
dbeta_0p057143,0.05714285714285716,40,49,90.18919896552322,2962,18,5.103248236931579,0.23641735401343866
dbeta_0p057143,0.05714285714285716,40,50,92.02979486277879,2932,22,4.892397609648226,0.21399908778917734
dbeta_0p057143,0.05714285714285716,40,51,93.87039076003437,2613,10,5.565669172526567,0.3168322929804334
dbeta_0p057143,0.05714285714285716,40,52,95.71098665728994,2487,13,5.253883086341868,0.2780740329401761
dbeta_0p057143,0.05714285714285716,80,1,2.596872636319218,2175,1892,0.13939419391096095,0.03143741944177628
dbeta_0p057143,0.05714285714285716,80,2,5.193745272638436,2287,1749,0.2681967190041791,0.031764907261573
dbeta_0p057143,0.05714285714285716,80,3,7.790617908957654,2418,1600,0.41293712294686535,0.0322267734918338
dbeta_0p057143,0.05714285714285716,80,4,10.387490545276872,2623,1446,0.5955175771481637,0.03275371404777424
dbeta_0p057143,0.05714285714285716,80,5,12.984363181596091,2747,1291,0.7550922952486314,0.03374354500609662
dbeta_0p057143,0.05714285714285716,80,6,15.581235817915308,2897,1242,0.8469527352759264,0.033916627970163926
dbeta_0p057143,0.05714285714285716,80,7,18.178108454234525,3015,1132,0.9796138503981575,0.03485781382544006
dbeta_0p057143,0.05714285714285716,80,8,20.774981090553744,3297,999,1.1940134644231775,0.03611519121908554
dbeta_0p057143,0.05714285714285716,80,9,23.371853726872963,3430,915,1.3213914748844644,0.037208081976470665
dbeta_0p057143,0.05714285714285716,80,10,25.968726363192182,3714,848,1.476984106120748,0.03805912195390236
dbeta_0p057143,0.05714285714285716,80,11,28.565598999511398,3749,741,1.6212437914398252,0.04020280415671198
dbeta_0p057143,0.05714285714285716,80,12,31.162471635830617,3824,661,1.7552984343196056,0.04212321901558982
dbeta_0p057143,0.05714285714285716,80,13,33.75934427214983,3950,590,1.9013483209954023,0.044137057119832006
dbeta_0p057143,0.05714285714285716,80,14,36.35621690846905,4142,515,2.084767141291793,0.04672447788945313
dbeta_0p057143,0.05714285714285716,80,15,38.95308954478827,4337,502,2.156338024143637,0.04714452250360185
dbeta_0p057143,0.05714285714285716,80,16,41.54996218110749,4568,453,2.310938625852812,0.04925870181402497
dbeta_0p057143,0.05714285714285716,80,17,44.14683481742671,4511,380,2.4741028846879645,0.05341590853222038
dbeta_0p057143,0.05714285714285716,80,18,46.74370745374593,4591,361,2.542975185916341,0.054661691992236076
dbeta_0p057143,0.05714285714285716,80,19,49.340580090065146,4806,306,2.7540353143440335,0.058958011313054455
dbeta_0p057143,0.05714285714285716,80,20,51.937452726384365,4796,258,2.9225779312257876,0.06390990597308915
dbeta_0p057143,0.05714285714285716,80,21,54.534325362703576,4861,234,3.033678341687754,0.0669269994947245
dbeta_0p057143,0.05714285714285716,80,22,57.131197999022795,5001,183,3.307907018577483,0.0752624799107453
dbeta_0p057143,0.05714285714285716,80,23,59.728070635342014,5040,172,3.377666884251961,0.07753944922931032
dbeta_0p057143,0.05714285714285716,80,24,62.32494327166123,5096,135,3.6309364188135698,0.08719885174987621
dbeta_0p057143,0.05714285714285716,80,25,64.92181590798045,5036,120,3.7368756523821918,0.09236830423482596
