timestep,marginal,bin,center,left,right,target_density,reconstructed_density,seed_min_density,seed_max_density
coarse,log_I2,23,-3.6191773705101893,-3.679831865258272,-3.558522875762107,0.014650916812801373,0.0152793961220236,0.015202149207662899,0.015384471462209866
coarse,log_I2,24,-3.4978683810140243,-3.558522875762107,-3.4372138862659414,0.016548102129469628,0.01667590980724578,0.016594013144057507,0.016789643838002834
coarse,log_I2,25,-3.3765593915178584,-3.4372138862659414,-3.3159048967697755,0.01905961412010658,0.018771105938384974,0.018683669660377013,0.01889787602850215
coarse,log_I2,26,-3.2552504020216926,-3.3159048967697755,-3.19459590727361,0.021834408971016,0.021393662071084656,0.021298307507399594,0.02154059838034031
coarse,log_I2,27,-3.1339414125255276,-3.19459590727361,-3.0732869177774447,0.02480279416036089,0.024525847001731337,0.02441487919424626,0.024685031899511222
coarse,log_I2,28,-3.0126324230293617,-3.0732869177774447,-2.9519779282812793,0.027458853603696442,0.026240291806475458,0.02612272606073096,0.026412181976943342
coarse,log_I2,29,-2.8913234335331963,-2.9519779282812793,-2.8306689387851134,0.030527905769027697,0.029564696534437843,0.029443701132463154,0.029760001810018605
coarse,log_I2,30,-2.770014444037031,-2.8306689387851134,-2.709359949288948,0.03494434668987051,0.033585778388838035,0.03344695095388099,0.03380351599586602
coarse,log_I2,31,-2.648705454540865,-2.709359949288948,-2.5880509597927825,0.038909076821030286,0.037973830966671174,0.03782819953613356,0.038207644003442745
coarse,log_I2,32,-2.5273964650447,-2.5880509597927825,-2.466741970296617,0.04265182336411732,0.04245233308979845,0.04229540805432366,0.04271159403346226
coarse,log_I2,33,-2.406087475548534,-2.466741970296617,-2.3454329808004513,0.04803879718164999,0.047018352257202085,0.046854159802493744,0.047302971057258295
coarse,log_I2,34,-2.2847784860523688,-2.3454329808004513,-2.2241239913042863,0.05504934863752925,0.05440020639820966,0.05422573053674012,0.05471544515844117
coarse,log_I2,35,-2.1634694965562034,-2.2241239913042863,-2.1028150018081204,0.06076155422363338,0.06041415955361343,0.06023283367291515,0.06075619182174523
coarse,log_I2,36,-2.0421605070600375,-2.1028150018081204,-1.9815060123119546,0.0689594597552502,0.06813826462979734,0.06794326625334778,0.06851412566235092
coarse,log_I2,37,-1.920851517563872,-1.9815060123119546,-1.8601970228157896,0.07621522563981462,0.0766363065384993,0.07643204197501759,0.07704095479839161
coarse,log_I2,38,-1.7995425280677066,-1.8601970228157896,-1.7388880333196237,0.08594378544732784,0.08629761336125473,0.08606137885712292,0.08672991146207458
coarse,log_I2,39,-1.6782335385715412,-1.7388880333196237,-1.6175790438234587,0.09623504783856159,0.09754579704608364,0.09728063713146304,0.09800801389033259
coarse,log_I2,40,-1.5569245490753758,-1.6175790438234587,-1.4962700543272929,0.1065624470929686,0.1068110105302369,0.10651619155409639,0.1072962390884647
coarse,log_I2,41,-1.43561555957921,-1.4962700543272929,-1.374961064831127,0.11664205071417881,0.11796382686550767,0.1176487824445382,0.1184680248955589
coarse,log_I2,42,-1.3143065700830445,-1.374961064831127,-1.253652075334962,0.1297313387969344,0.1307130177332775,0.13037363434350932,0.13122546988136266
coarse,log_I2,43,-1.192997580586879,-1.253652075334962,-1.1323430858387962,0.14218823177413206,0.1448323665145456,0.14444776673397308,0.14536114567609976
coarse,log_I2,44,-1.0716885910907137,-1.1323430858387962,-1.0110340963426312,0.1574018511706538,0.1565190580104094,0.1561097565210343,0.15703983069842725
coarse,log_I2,45,-0.9503796015945483,-1.0110340963426312,-0.8897251068464653,0.17370473887143723,0.17409337404118563,0.17365639520120607,0.1746197996869772
coarse,log_I2,46,-0.8290706120983824,-0.8897251068464653,-0.7684161173502995,0.18958689023668854,0.19009940001595846,0.1896613942977588,0.19059750202524658
coarse,log_I2,47,-0.707761622602217,-0.7684161173502995,-0.6471071278541345,0.20724232910201087,0.2043695432339021,0.20391780352562536,0.20484354573861685
coarse,log_I2,48,-0.5864526331060516,-0.6471071278541345,-0.5257981383579686,0.2263871229710276,0.22361832675758428,0.22315920246350168,0.2240527136577225
coarse,log_I2,49,-0.46514364360988614,-0.5257981383579686,-0.40448914886180365,0.24286811378317463,0.24196555511334808,0.24149456035011452,0.2423508066013047
coarse,log_I2,50,-0.3438346541137207,-0.40448914886180365,-0.2831801593656378,0.26022155172053424,0.25935645717146777,0.25890165953775407,0.2596748549028987
coarse,log_I2,51,-0.22252566461755485,-0.2831801593656378,-0.16187116986947192,0.2791340371834298,0.27695665334658515,0.27650868708249676,0.2771996113140427
coarse,log_I2,52,-0.10121667512138943,-0.16187116986947192,-0.040562180373306944,0.29979916051029726,0.29629141547216586,0.2958800180648662,0.2965719467611219
coarse,log_I2,53,0.020092314374775988,-0.040562180373306944,0.08074680912285892,0.3184457819084059,0.31444458223997374,0.3140808521887472,0.3147837658805588
coarse,log_I2,54,0.14140130387094185,0.08074680912285892,0.20205579861902478,0.3348157809265147,0.32948477843768204,0.3291896029820234,0.32990707069479097
coarse,log_I2,55,0.2627102933671073,0.20205579861902478,0.32336478811518976,0.3480418728484331,0.34699176876216925,0.34671602341665303,0.34748946834728334
coarse,log_I2,56,0.3840192828632727,0.32336478811518976,0.4446737776113556,0.3603180815097559,0.3593103957870736,0.3588636777149183,0.3598447418644333
coarse,log_I2,57,0.5053282723594381,0.4446737776113556,0.5659827671075206,0.3684204824744139,0.36645089544697,0.36583847698833233,0.36700512831361026
coarse,log_I2,58,0.6266372618556035,0.5659827671075206,0.6872917566036865,0.3747573395525344,0.3695497144153081,0.36878392755640665,0.37010379354542755
coarse,log_I2,59,0.7479462513517694,0.6872917566036865,0.8086007460998523,0.37435725285310095,0.37018146542192315,0.3693077668747835,0.370687749338872
coarse,log_I2,60,0.8692552408479348,0.8086007460998523,0.9299097355960173,0.3673131457385626,0.364855124348543,0.3639252832510989,0.36537814370612964
coarse,log_I2,61,0.9905642303441002,0.9299097355960173,1.0512187250921832,0.3539347627504082,0.35278735698804004,0.3518358822269413,0.35345336457068577
coarse,log_I2,62,1.1118732198402657,1.0512187250921832,1.1725277145883481,0.33273791129397573,0.334245350769635,0.3333347087369033,0.33502143288323744
coarse,log_I2,63,1.233182209336431,1.1725277145883481,1.293836704084514,0.3025868613837668,0.3039254370516418,0.3030717720356886,0.30478287656306174
coarse,log_I2,64,1.354491198832597,1.293836704084514,1.4151456935806799,0.26393332380947154,0.27071811602862467,0.2699080013347664,0.2716320874566865
coarse,log_I2,65,1.4758001883287624,1.4151456935806799,1.5364546830768449,0.22283022315284032,0.23288446448471664,0.23213011150201482,0.23380294510104313
coarse,log_I2,66,1.5971091778249278,1.5364546830768449,1.6577636725730107,0.18068947828219134,0.18561286310101122,0.18492303564094673,0.18647618545337236
coarse,log_I2,67,1.7184181673210936,1.6577636725730107,1.7790726620691766,0.13568101519818557,0.14097153326804543,0.14036843208420083,0.1417405519051523
