timestep,i,j,theta1,theta3,target_density,reconstructed_density,difference
fine,3,22,-2.7750735106709836,-0.7853981633974485,0.02724246082722522,0.024443605016614325,-0.0027988558106108938
fine,3,23,-2.7750735106709836,-0.6806784082777886,0.02476328290675598,0.026154704097502795,0.0013914211907468145
fine,3,24,-2.7750735106709836,-0.5759586531581289,0.025646668142785357,0.02307387264366892,-0.0025727954991164384
fine,3,25,-2.7750735106709836,-0.4712388980384692,0.02199914200692246,0.026021235970223867,0.004022093963301408
fine,3,26,-2.7750735106709836,-0.36651914291880927,0.02405087545834528,0.022625923320082574,-0.001424952138262707
fine,3,27,-2.7750735106709836,-0.2617993877991496,0.023195986520252534,0.02374301140189067,0.0005470248816381376
fine,3,28,-2.7750735106709836,-0.15707963267948988,0.022369593880096024,0.02359408374721214,0.0012244898671161172
fine,3,29,-2.7750735106709836,-0.05235987755982996,0.02254057166771459,0.023172936489478563,0.0006323648217639727
fine,3,30,-2.7750735106709836,0.05235987755982974,0.023224482818188962,0.024216158052542097,0.000991675234353135
fine,3,31,-2.7750735106709836,0.15707963267948943,0.023395460605807432,0.023850541619578784,0.00045508101377135166
fine,3,32,-2.7750735106709836,0.26179938779914935,0.023195986520252433,0.022360900855183424,-0.0008350856650690096
fine,3,33,-2.7750735106709836,0.36651914291880905,0.022939519838824682,0.023466072135563776,0.0005265522967390947
fine,3,34,-2.7750735106709836,0.47123889803846875,0.023879897670726707,0.02219076075735041,-0.001689136913376299
fine,3,35,-2.7750735106709836,0.5759586531581287,0.023651927287235284,0.02392691206341797,0.0002749847761826865
fine,3,36,-2.7750735106709836,0.6806784082777884,0.024620801417073943,0.022611062857625625,-0.002009738559448318
fine,3,37,-2.7750735106709836,0.7853981633974481,0.023566438393426002,0.026171615170604234,0.002605176777178232
fine,3,38,-2.7750735106709836,0.890117918517108,0.025874638526276673,0.02491254353196498,-0.0009620949943116922
fine,3,39,-2.7750735106709836,0.9948376736367677,0.0259886237180225,0.023885311663634442,-0.0021033120543880596
fine,3,40,-2.7750735106709836,1.0995574287564271,0.026501557080878202,0.0250655242842338,-0.0014360327966444035
fine,3,41,-2.7750735106709836,1.204277183876087,0.028011860871508663,0.02683780976986501,-0.0011740511016436542
fine,3,42,-2.7750735106709836,1.308996938995747,0.027470431210716763,0.02863414482179526,0.001163713611078497
fine,3,43,-2.7750735106709836,1.4137166941154065,0.027755394190081047,0.027734519251161462,-2.087493891958503e-05
fine,3,44,-2.7750735106709836,1.5184364492350664,0.02969314244975791,0.02993995404084095,0.0002468115910830397
fine,3,45,-2.7750735106709836,1.6231562043547263,0.029835623939440302,0.030390267618677594,0.0005546436792372919
fine,3,46,-2.7750735106709836,1.7278759594743858,0.030747505473406,0.03168636779889897,0.000938862325492968
fine,3,47,-2.7750735106709836,1.8325957145940457,0.03430954271545923,0.0313372945102511,-0.002972248205208132
fine,3,48,-2.7750735106709836,1.9373154697137056,0.03493646127006095,0.034637531375373835,-0.00029892989468711245
fine,3,49,-2.7750735106709836,2.042035224833365,0.03627578727307307,0.03622201301333517,-5.3774259737897345e-05
fine,3,50,-2.7750735106709836,2.146754979953025,0.04077820234702837,0.03816478807776773,-0.002613414269260643
fine,3,51,-2.7750735106709836,2.251474735072685,0.03955286153576231,0.03897587865795784,-0.0005769828778044717
fine,3,52,-2.7750735106709836,2.3561944901923444,0.042715950606705834,0.040893987208484445,-0.0018219633982213893
fine,3,53,-2.7750735106709836,2.4609142453120043,0.047674306447643935,0.04322142312214189,-0.004452883325502047
fine,3,54,-2.7750735106709836,2.5656340004316642,0.04747483236208934,0.04784364158325181,0.000368809221162468
fine,3,55,-2.7750735106709836,2.6703537555513237,0.049583558409385026,0.050424483406821034,0.0008409249974360086
fine,3,56,-2.7750735106709836,2.7750735106709836,0.05345905492873881,0.05314184016489478,-0.0003172147638440259
fine,3,57,-2.7750735106709836,2.8797932657906435,0.05325958084318426,0.054697502306241715,0.0014379214630574552
fine,3,58,-2.7750735106709836,2.984513020910303,0.05514033650698852,0.05678934863510043,0.0016490121281119083
fine,3,59,-2.7750735106709836,3.089232776029963,0.05696409957491944,0.056164945022706914,-0.000799154552212529
fine,4,0,-2.670353755551324,-3.089232776029963,0.05630868472238208,0.05377960871709553,-0.002529076005286554
fine,4,1,-2.670353755551324,-2.9845130209103035,0.053516047524612344,0.05317584368261994,-0.0003402038419924036
fine,4,2,-2.670353755551324,-2.879793265790644,0.05343055863080283,0.05501080721853707,0.0015802485877342426
fine,4,3,-2.670353755551324,-2.7750735106709836,0.053886499397785684,0.05146883573710947,-0.0024176636606762156
fine,4,4,-2.670353755551324,-2.670353755551324,0.051122358497952367,0.04823261151165461,-0.0028897469862977573
fine,4,5,-2.670353755551324,-2.5656340004316647,0.05038145475160502,0.045990356715705456,-0.004391098035899564
fine,4,6,-2.670353755551324,-2.4609142453120048,0.04718986938272526,0.04606432120194361,-0.0011255481807816436
