I1_I2_I3,theta1,theta3,log_density,density
1.0,-3.0892327760299634,1.7802358370342155,-6.7075637974942515,0.001221636656570503
1.0,-3.0892327760299634,1.8325957145940457,-6.695997151918552,0.0012358489305156633
1.0,-3.0892327760299634,1.8849555921538759,-6.684664172531085,0.0012499344456400625
1.0,-3.0892327760299634,1.9373154697137052,-6.673602983393794,0.0012638369543443704
1.0,-3.0892327760299634,1.9896753472735353,-6.662851060028154,0.001277498947159362
1.0,-3.0892327760299634,2.0420352248333655,-6.652444991669679,0.0012908620968691584
1.0,-3.0892327760299634,2.094395102393195,-6.642420206977426,0.0013038677921868135
1.0,-3.0892327760299634,2.146754979953025,-6.632810662804959,0.0013164577623850902
1.0,-3.0892327760299634,2.199114857512855,-6.623648500806971,0.0013285747859703566
1.0,-3.0892327760299634,2.2514747350726845,-6.6149636825210685,0.0013401634665174775
1.0,-3.0892327760299634,2.3038346126325147,-6.606783619225331,0.0013511710484792909
1.0,-3.0892327760299634,2.356194490192345,-6.599132817378386,0.0013615482367191998
1.0,-3.0892327760299634,2.408554367752174,-6.592032562973602,0.0013712499772389403
1.0,-3.0892327760299634,2.4609142453120043,-6.585500668130977,0.0013802361543250304
1.0,-3.0892327760299634,2.5132741228718345,-6.579551300526535,0.0013884721618133632
1.0,-3.0892327760299634,2.565634000431664,-6.574194911024681,0.0013959293133993884
1.0,-3.0892327760299634,2.617993877991494,-6.56943826767852,0.0014025850682564775
1.0,-3.0892327760299634,2.670353755551324,-6.565284595880828,0.0014084230624607302
1.0,-3.0892327760299634,2.7227136331111534,-6.561733815791406,0.001413432952273157
1.0,-3.0892327760299634,2.7750735106709836,-6.558782860152529,0.0014176100904573245
1.0,-3.0892327760299634,2.827433388230814,-6.556426049067901,0.001420955069826098
1.0,-3.0892327760299634,2.879793265790643,-6.554655493944382,0.0014234731776718158
1.0,-3.0892327760299634,2.9321531433504733,-6.55346150105453,0.0014251738095940247
1.0,-3.0892327760299634,2.9845130209103035,-6.5528329463014225,0.0014260698909546463
1.0,-3.0892327760299634,3.0368728984701328,-6.552757596711806,0.0014261773487840952
1.0,-3.0892327760299634,3.089232776029963,-6.553222360625626,0.001425514667024885
1.0,-3.0892327760299634,3.141592653589793,-6.554213456899206,0.0014241025446406698
1.0,-3.036872898470133,-3.141592653589793,-6.555688488529444,0.0014220034968041766
1.0,-3.036872898470133,-3.0892327760299634,-6.557115583852047,0.0014199756096034983
1.0,-3.036872898470133,-3.036872898470133,-6.55906328768826,0.001417212609287967
1.0,-3.036872898470133,-2.9845130209103035,-6.561515898831815,0.001413740996847552
1.0,-3.036872898470133,-2.9321531433504737,-6.564456798316922,0.0014095894343340782
1.0,-3.036872898470133,-2.8797932657906435,-6.56786840179437,0.0014047886679301664
1.0,-3.036872898470133,-2.827433388230814,-6.5717321416704495,0.0013993714021286647
1.0,-3.036872898470133,-2.775073510670984,-6.576028505186869,0.0013933720907302535
1.0,-3.036872898470133,-2.722713633111154,-6.580737149934627,0.0013868266187980645
1.0,-3.036872898470133,-2.670353755551324,-6.58583711093229,0.001379771861915095
1.0,-3.036872898470133,-2.6179938779914944,-6.591307103976677,0.0013722451237973287
1.0,-3.036872898470133,-2.5656340004316647,-6.597125919348738,0.0013642834689407768
1.0,-3.036872898470133,-2.5132741228718345,-6.603272889136842,0.00135592298183086
