j,controlled_mean_sin,controlled_se,controlled_z,simd_mean_sin,simd_se,simd_z,controlled_over_simd_se
28,-0.000172893918665007,0.0006610131370281524,-0.2615589751246403,0.0036808962068298648,0.0007131954137097744,5.161132749975532,0.9268331292118251
29,0.0013063554948680484,0.0006655546214373085,1.962807338106809,0.0025356889679618586,0.0007145239752741584,3.5487808047153777,0.9314657652767204
30,0.00027618485379195777,0.000651828590963255,0.4237077931543615,0.0025944358529591937,0.0007028420616892871,3.6913497275951928,0.9274183013415265
31,0.00032231621367630984,0.0006405803966394583,0.5031627807644588,0.0011383280443975977,0.0007047929081206373,1.6151241467979605,0.9088916605979982
32,0.00042543355060597484,0.0006352620189144748,0.6696977592536519,0.002155344748252519,0.0006841000464489265,3.150627981156602,0.9286098169588448
33,-0.00021274771397252656,0.0006201396005736272,-0.3430642290473558,0.0020914942160488803,0.0007382276553223195,2.8331290503275817,0.8400384300190792
34,-0.0003850904030901976,0.000688475901710137,-0.5593375194885599,0.0015706699833097943,0.0006837202580652979,2.2972406693846845,1.0069555400600474
35,-0.0008411168599440157,0.0006254079659517429,-1.3449090925217237,0.0020632623336257773,0.0006824491281958433,3.023320344888301,0.9164169754383051
36,0.00029702723110876044,0.0006238045663063064,0.47615430721760915,0.0010502609926633516,0.0007353856709116932,1.4281771242038102,0.8482685901847198
37,0.0001979122835465451,0.0006158651008632833,0.32135654913571715,0.00028707928539965777,0.0006911796516356973,0.41534684176577835,0.8910347684655069
38,1.2165792450116513e-05,0.0006804662194369904,0.017878613372141153,0.0012299223320708249,0.000689357019385424,1.7841587123713138,0.9871027643174506
39,-0.00048362549043280093,0.0006663682200459607,-0.7257631379831474,0.00114789879784015,0.0006819182217005783,1.683337915472477,0.9771966767278359
40,0.0005156754642180294,0.0006755968533074383,0.7632887300962091,0.000683053369272633,0.0006967015903402067,0.9804102340847116,0.9697076376379983
41,-0.000380526754754987,0.0006432516616238292,-0.591567464892951,0.0006000371239199261,0.0007045472852013538,0.8516633823213732,0.9129999861400264
42,-0.00036970767870728036,0.000616753586559035,-0.5994414734901462,0.001584964865205988,0.0007435782254989327,2.1315374910857483,0.8294400849960342
