case,replicate,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
driven_dt2p5e-4,195,-5.581749738501255,5.695778969252528,1,0.5280205683401165,0.7429496732465315,0.20163824533827587,-5.2318131025257415,5.300367700581084,516,1.2212453270876722e-13
driven_dt2p5e-4,196,-5.581749738501255,5.695778969252528,1,0.5041205156059962,0.7212502065928873,0.2310114731463,-5.558784981488919,6.19937614377818,516,7.642775301519578e-13
driven_dt2p5e-4,197,-5.581749738501255,5.695778969252528,1,0.2653010889510835,0.7355350802779649,0.20922675505689095,-5.365064218092723,5.542703651046377,516,1.120215031846783e-13
driven_dt2p5e-4,198,-5.581749738501255,5.695778969252528,1,0.581750147865238,0.7435730862110305,0.19897156894721568,-5.234202376817781,5.229255587278931,516,9.419132140919828e-13
driven_dt2p5e-4,199,-5.581749738501255,5.695778969252528,1,0.6615859942226003,0.7424064289857599,0.23189456935923541,-5.026220368929607,6.055060401134046,516,4.767297667740422e-13
driven_dt2p5e-4,200,-5.581749738501255,5.695778969252528,1,0.44861932065931276,0.7425686822944001,0.20816038607957968,-5.196326347920746,5.4661965115989695,517,1.5356604876615165e-12
driven_dt2p5e-4,201,-5.581749738501255,5.695778969252528,1,0.557608708349459,0.7400650900962265,0.22858959843507315,-5.109097238158945,5.99162873779615,516,1.3358203432289883e-12
driven_dt2p5e-4,202,-5.581749738501255,5.695778969252528,1,0.6468637548946589,0.748444591636152,0.2232359453660087,-4.942904299421997,5.7973133100641325,516,1.077804512306102e-12
driven_dt2p5e-4,203,-5.581749738501255,5.695778969252528,1,0.34875699607673794,0.7147232992778894,0.20591309725438925,-5.919821770950183,5.610112504470087,517,8.304468224196171e-14
driven_dt2p5e-4,204,-5.581749738501255,5.695778969252528,1,0.42236256915883147,0.7402618806983765,0.22010200500045332,-5.167891291358283,5.780107645009098,516,3.740119325357227e-12
driven_dt2p5e-4,205,-5.581749738501255,5.695778969252528,1,0.24352148460171738,0.7352199558370711,0.21349638778394403,-5.34215221758218,5.652238856344337,516,3.2018832030189515e-13
driven_dt2p5e-4,206,-5.581749738501255,5.695778969252528,1,0.783912376170541,0.7548437424280557,0.20376259418387288,-4.921539130493861,5.273120044600686,516,1.5765166949677223e-12
driven_dt2p5e-4,207,-5.581749738501255,5.695778969252528,1,0.15947923841092843,0.7278440735400814,0.20678979535637487,-5.577093303918543,5.536367724037183,517,1.5867307467942737e-12
driven_dt2p5e-4,208,-5.581749738501255,5.695778969252528,1,0.7338136572061694,0.698755028441573,0.2138569096192984,-6.273718603906473,5.940036155046742,516,1.9761969838327786e-14
driven_dt2p5e-4,209,-5.581749738501255,5.695778969252528,1,0.22775032114913135,0.7299695120831894,0.2202205138711838,-5.423978846561898,5.8600304667805325,516,1.432409746371377e-12
driven_dt2p5e-4,210,-5.581749738501255,5.695778969252528,1,0.60646957727065,0.7457087942966978,0.2003364882240383,-5.17151734131716,5.249108253338185,516,1.6020518245341009e-12
driven_dt2p5e-4,211,-5.581749738501255,5.695778969252528,1,0.5117241129635896,0.7455192359642967,0.21435813343793614,-5.079159600065393,5.59952555094755,515,1.1002310174035301e-12
driven_dt2p5e-4,212,-5.581749738501255,5.695778969252528,1,0.379007734589211,0.7167362911481594,0.2234005767525039,-5.733772689522994,6.042961752871024,516,3.3306690738754696e-13
driven_dt2p5e-4,213,-5.581749738501255,5.695778969252528,1,0.3851456256973009,0.740449841996755,0.21529881091530265,-5.198334956073588,5.659306272482063,516,8.841816168114747e-13
