event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
150,75,0,0,0,1.5985760305428172,1.5985760305428172,0.27361812945937258,256,0.00390625,256,256,256,256
151,75.5,0,0,0,1.279966527036758,1.279966527036758,0.28048357548861302,256,0.00390625,256,256,256,256
152,76,0,0,0,1.6314353818282199,1.6314353818282199,0.56291753901709063,256,0.00390625,256,256,256,256
153,76.5,0,0,0,1.563848850072602,1.563848850072602,0.47000905332233667,256,0.00390625,256,256,256,256
154,77,0,0,0,1.4875668900710093,1.4875668900710093,0.080111241377130674,256,0.00390625,256,256,256,256
155,77.5,0,0,0,0.92969073326021678,0.92969073326021678,0.31471155128129186,256,0.00390625,256,256,256,256
156,78,0,0,0,1.2860499304618149,1.2860499304618149,0.70138433453473614,256,0.00390625,256,256,256,256
157,78.5,0,0,0,0.49639489893769212,0.49639489893769212,0.47851019827190505,256,0.00390625,256,256,256,256
158,79,0,0,0,0.98510730439084659,0.98510730439084659,0.38222541019291673,256,0.00390625,256,256,256,256
159,79.5,0,0,0,2.2307477331731933,2.2307477331731933,0.45906801147741577,256,0.00390625,256,256,256,256
160,80,0,0,0,0.90486379062988553,0.90486379062988553,0.61129958147906072,256,0.00390625,256,256,256,256
161,80.5,0,0,0,1.5475876302352565,1.5475876302352565,0.24229046354983044,256,0.00390625,256,256,256,256
162,81,0,0,0,1.7199986668388967,1.7199986668388967,0.30976328511042078,256,0.00390625,256,256,256,256
163,81.5,0,0,0,0.52282343252381325,0.52282343252381325,0.44067403966471419,256,0.00390625,256,256,256,256
164,82,0,0,0,1.1093057099985173,1.1093057099985173,0.40405643549001291,256,0.00390625,256,256,256,256
165,82.5,0,0,0,1.4938403828180666,1.4938403828180666,0.43529466671183531,256,0.00390625,256,256,256,256
166,83,0,0,0,0.71018218400210253,0.71018218400210253,0.30555516221266715,256,0.00390625,256,256,256,256
167,83.5,0,0,0,1.0387837730739902,1.0387837730739902,0.33616715676482245,256,0.00390625,256,256,256,256
168,84,0,0,0,2.1502405824511208,2.1502405824511208,0.48895022146014006,256,0.00390625,256,256,256,256
169,84.5,0,0,0,1.2638290131560765,1.2638290131560765,0.25959024565781635,256,0.00390625,256,256,256,256
170,85,0,0,0,1.1293444526111505,1.1293444526111505,0.14921729148058374,256,0.00390625,256,256,256,256
171,85.5,0,0,0,0.9544850745559692,0.9544850745559692,0.35555916968123752,256,0.00390625,256,256,256,256
172,86,0,0,0,0.98218899420403649,0.98218899420403649,0.47680460277121728,256,0.00390625,256,256,256,256
173,86.5,0,0,0,1.9039567323094668,1.9039567323094668,0.70329392945748159,256,0.00390625,256,256,256,256
174,87,0,0,0,1.3834150579441407,1.3834150579441407,0.29284776072827995,256,0.00390625,256,256,256,256
175,87.5,0,0,0,1.6550801627636127,1.6550801627636127,0.29817819027635889,256,0.00390625,256,256,256,256
176,88,0,0,0,1.2104112253573631,1.2104112253573631,0.36250943006227687,256,0.00390625,256,256,256,256
177,88.5,0,0,0,1.3486261209446844,1.3486261209446844,0.2731215969768504,256,0.00390625,256,256,256,256
178,89,0,0,0,0.89469222754402422,0.89469222754402422,0.50279741021798052,256,0.00390625,256,256,256,256
179,89.5,0,0,0,1.1219723577722918,1.1219723577722918,0.34862364400014456,256,0.00390625,256,256,256,256
