case,source,sector,angle,metric,estimate,ci_low,ci_high,seed_min,seed_max
driven,new_ensemble,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.20505138547978075,0.20257557175170252,0.20749696328294343,0.20491259208001644,0.20513681724416769
driven,new_ensemble,middle,joint,prob_both_within_pi_over_6_of_theta0,0.039276918529828904,0.038552148078667456,0.04002365073456279,0.039201510983748786,0.03931468176219865
driven,new_ensemble,high,theta1,circular_mean,2.7251052591648004,2.708086384350427,2.741945804148206,2.722296326659177,2.72969566194931
driven,new_ensemble,high,theta1,circular_resultant,0.2492221234492531,0.24292327139924094,0.25559372524696267,0.24839890725761413,0.24987392445704398
driven,new_ensemble,high,theta1,histogram_mode,2.4870941840919194,2.4870941840919194,2.7488935718910685,2.4870941840919194,2.4870941840919194
driven,new_ensemble,high,theta1,prob_within_pi_over_6_of_theta0,0.24469088969802477,0.24257924258353786,0.2470619910566482,0.24426400173112417,0.2454320708767462
driven,new_ensemble,high,theta3,circular_mean,-2.687513315785179,-2.713469730260428,-2.663489038063324,-2.694479499286044,-2.6810054347362224
driven,new_ensemble,high,theta3,circular_resultant,0.190470646790384,0.18291727940841393,0.1980772882363662,0.18939732100210982,0.1925825798950284
driven,new_ensemble,high,theta3,histogram_mode,-2.923426497090502,-3.0106929596902186,-2.6616271092913526,-2.923426497090502,-2.923426497090502
driven,new_ensemble,high,theta3,prob_within_pi_over_6_of_theta0,0.15879677161240816,0.15683954119988672,0.160877455800026,0.15822913078199863,0.15916094107641848
driven,new_ensemble,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.21817145864508258,0.21590060578103143,0.22033049249560827,0.21803687919949327,0.21830380538333485
driven,new_ensemble,high,joint,prob_both_within_pi_over_6_of_theta0,0.041817833003831135,0.04090855692097349,0.042751160832688276,0.04152230410595799,0.04200697240239929
driven,legacy_density,low,theta1,circular_mean,3.0472857752012676,3.0193738744413388,3.0738538612867146,,
driven,legacy_density,low,theta1,circular_resultant,0.18384381767651403,0.17627074406962698,0.1909268530843495,,
driven,legacy_density,low,theta1,histogram_mode,-3.097959422289935,2.923426497090502,-3.0106929596902186,,
driven,legacy_density,low,theta1,prob_within_pi_over_6_of_theta0,0.20060448251268964,0.19806026164045323,0.2029942293302336,,
driven,legacy_density,low,theta3,circular_mean,-3.0409769773675808,-3.063591935041081,-3.01776058520036,,
