case,source,sector,angle,bin,theta,density
equilibrium,new_ensemble,high,theta3,41,0.4799655442984405,0.11268853644635893
equilibrium,new_ensemble,high,theta3,42,0.5672320068981569,0.11901911279635366
equilibrium,new_ensemble,high,theta3,43,0.6544984694978735,0.11598214711493728
equilibrium,new_ensemble,high,theta3,44,0.7417649320975901,0.11968211234652203
equilibrium,new_ensemble,high,theta3,45,0.8290313946973065,0.12220578805361453
equilibrium,new_ensemble,high,theta3,46,0.9162978572970228,0.12453698002033556
equilibrium,new_ensemble,high,theta3,47,1.0035643198967392,0.12671846241121212
equilibrium,new_ensemble,high,theta3,48,1.0908307824964556,0.13005484724431746
equilibrium,new_ensemble,high,theta3,49,1.178097245096172,0.13097449178164777
equilibrium,new_ensemble,high,theta3,50,1.2653637076958888,0.13319874833705134
equilibrium,new_ensemble,high,theta3,51,1.3526301702956056,0.1348883278358675
equilibrium,new_ensemble,high,theta3,52,1.439896632895322,0.1403206467307954
equilibrium,new_ensemble,high,theta3,53,1.5271630954950384,0.14545354647403436
equilibrium,new_ensemble,high,theta3,54,1.6144295580947547,0.1468437068211616
equilibrium,new_ensemble,high,theta3,55,1.7016960206944711,0.15193383239987357
equilibrium,new_ensemble,high,theta3,56,1.7889624832941875,0.16117305193770373
equilibrium,new_ensemble,high,theta3,57,1.8762289458939039,0.1627984701897294
equilibrium,new_ensemble,high,theta3,58,1.9634954084936203,0.16814524075560333
equilibrium,new_ensemble,high,theta3,59,2.050761871093337,0.17314981800526133
equilibrium,new_ensemble,high,theta3,60,2.138028333693054,0.17633649326252218
equilibrium,new_ensemble,high,theta3,61,2.2252947962927703,0.18362948831437423
equilibrium,new_ensemble,high,theta3,62,2.3125612588924866,0.19143577334055015
equilibrium,new_ensemble,high,theta3,63,2.399827721492203,0.19684670515321456
equilibrium,new_ensemble,high,theta3,64,2.4870941840919194,0.2073263754623275
equilibrium,new_ensemble,high,theta3,65,2.574360646691636,0.21541069255792886
equilibrium,new_ensemble,high,theta3,66,2.661627109291352,0.22000891524458044
equilibrium,new_ensemble,high,theta3,67,2.7488935718910685,0.22941923144051854
equilibrium,new_ensemble,high,theta3,68,2.8361600344907854,0.23279839043815087
equilibrium,new_ensemble,high,theta3,69,2.923426497090502,0.23234926171061746
equilibrium,new_ensemble,high,theta3,70,3.0106929596902186,0.24128906209675868
equilibrium,new_ensemble,high,theta3,71,3.097959422289935,0.2407116108756443
equilibrium,legacy_density,low,theta1,0,-3.097959422289935,0.23078670428501477
equilibrium,legacy_density,low,theta1,1,-3.0106929596902186,0.2310851322823837
equilibrium,legacy_density,low,theta1,2,-2.923426497090502,0.22997654981401638
equilibrium,legacy_density,low,theta1,3,-2.8361600344907854,0.22514802551910348
equilibrium,legacy_density,low,theta1,4,-2.748893571891069,0.2188385163752804
equilibrium,legacy_density,low,theta1,5,-2.6616271092913526,0.21544670568976015
equilibrium,legacy_density,low,theta1,6,-2.574360646691636,0.20678503169379023
equilibrium,legacy_density,low,theta1,7,-2.4870941840919194,0.20236188814833234
equilibrium,legacy_density,low,theta1,8,-2.399827721492203,0.19491983425442336
equilibrium,legacy_density,low,theta1,9,-2.3125612588924866,0.19059396541062726
equilibrium,legacy_density,low,theta1,10,-2.2252947962927703,0.18424895912233177
equilibrium,legacy_density,low,theta1,11,-2.138028333693054,0.17803771587147224
equilibrium,legacy_density,low,theta1,12,-2.0507618710933375,0.17509829598758073
equilibrium,legacy_density,low,theta1,13,-1.9634954084936207,0.16992653606669514
equilibrium,legacy_density,low,theta1,14,-1.8762289458939043,0.1597640804911156
equilibrium,legacy_density,low,theta1,15,-1.7889624832941877,0.1564047816634016
equilibrium,legacy_density,low,theta1,16,-1.7016960206944713,0.152988269275264
equilibrium,legacy_density,low,theta1,17,-1.6144295580947547,0.14538310167597512
equilibrium,legacy_density,low,theta1,18,-1.5271630954950384,0.14430058916735372
equilibrium,legacy_density,low,theta1,19,-1.439896632895322,0.1388026147866102
equilibrium,legacy_density,low,theta1,20,-1.3526301702956054,0.13807424810488317
equilibrium,legacy_density,low,theta1,21,-1.2653637076958888,0.13301789645153256
equilibrium,legacy_density,low,theta1,22,-1.1780972450961724,0.13105990526488134
equilibrium,legacy_density,low,theta1,23,-1.090830782496456,0.13059232635714557
equilibrium,legacy_density,low,theta1,24,-1.0035643198967397,0.12832710280688267
equilibrium,legacy_density,low,theta1,25,-0.9162978572970231,0.1234398080509454
equilibrium,legacy_density,low,theta1,26,-0.8290313946973065,0.1231649197052187
equilibrium,legacy_density,low,theta1,27,-0.7417649320975901,0.12090142203859651
equilibrium,legacy_density,low,theta1,28,-0.6544984694978737,0.12229094105892217
equilibrium,legacy_density,low,theta1,29,-0.5672320068981571,0.11848045051432195
equilibrium,legacy_density,low,theta1,30,-0.4799655442984405,0.11728136842008065
equilibrium,legacy_density,low,theta1,31,-0.39269908169872414,0.11723932670877044
equilibrium,legacy_density,low,theta1,32,-0.30543261909900776,0.1160647057906011
equilibrium,legacy_density,low,theta1,33,-0.21816615649929139,0.11456630998997855
equilibrium,legacy_density,low,theta1,34,-0.1308996938995748,0.11448253952364582
equilibrium,legacy_density,low,theta1,35,-0.04363323129985819,0.11460051938057413
equilibrium,legacy_density,low,theta1,36,0.04363323129985819,0.11507457809306892
equilibrium,legacy_density,low,theta1,37,0.13089969389957457,0.11779467853147982
