theta1,theta3,diff
0.523599,2.40855,-0.000229101
0.523599,2.61799,-8.64442e-05
0.523599,2.82743,3.76894e-05
0.523599,3.03687,-2.40945e-05
0.733038,-3.03687,0.000542917
0.733038,-2.82743,0.00118932
0.733038,-2.61799,0.000755944
0.733038,-2.40855,0.000370069
0.733038,-2.19911,3.57659e-05
0.733038,-1.98968,-0.000150039
0.733038,-1.78024,-0.000365748
0.733038,-1.5708,-0.00053942
0.733038,-1.36136,-0.00051504
0.733038,-1.15192,-0.000292645
0.733038,-0.942478,-0.000470744
0.733038,-0.733038,-0.000248189
0.733038,-0.523599,-0.000224793
0.733038,-0.314159,-0.000257092
0.733038,-0.10472,-0.000226936
0.733038,0.10472,-0.000187663
0.733038,0.314159,-0.000185849
0.733038,0.523599,-7.65374e-05
0.733038,0.733038,-0.000289237
0.733038,0.942478,-0.000303766
0.733038,1.15192,-0.000286993
0.733038,1.36136,-0.000513848
0.733038,1.5708,-0.000433138
0.733038,1.78024,-0.000282934
0.733038,1.98968,-3.02723e-05
0.733038,2.19911,-6.76097e-05
0.733038,2.40855,-0.000318455
0.733038,2.61799,-2.70224e-05
0.733038,2.82743,0.000142849
0.733038,3.03687,3.12899e-05
0.942478,-3.03687,0.000668765
0.942478,-2.82743,0.000771926
0.942478,-2.61799,0.000156286
0.942478,-2.40855,0.00060152
0.942478,-2.19911,0.000243559
0.942478,-1.98968,0.000231221
0.942478,-1.78024,-2.81216e-06
0.942478,-1.5708,-0.000501167
0.942478,-1.36136,-0.000300438
0.942478,-1.15192,-0.000295677
0.942478,-0.942478,-0.000757039
0.942478,-0.733038,-0.000386463
0.942478,-0.523599,-0.000267643
0.942478,-0.314159,-0.000411852
0.942478,-0.10472,-0.000355225
0.942478,0.10472,-0.000187133
0.942478,0.314159,-0.000205864
0.942478,0.523599,-0.000205814
0.942478,0.733038,-0.000574175
0.942478,0.942478,-0.000318219
0.942478,1.15192,-0.000166665
0.942478,1.36136,-8.73477e-05
0.942478,1.5708,-0.000326344
0.942478,1.78024,-0.000159976
0.942478,1.98968,-0.000398395
0.942478,2.19911,-0.000259744
0.942478,2.40855,-0.000317411
0.942478,2.61799,-0.000281543
0.942478,2.82743,6.43251e-05
0.942478,3.03687,0.000661216
1.15192,-3.03687,0.000133114
1.15192,-2.82743,0.000265491
1.15192,-2.61799,0.000478347
1.15192,-2.40855,0.00100136
1.15192,-2.19911,0.000590775
1.15192,-1.98968,0.000242668
1.15192,-1.78024,-0.00025566
1.15192,-1.5708,-0.00059994
1.15192,-1.36136,-0.000430223
1.15192,-1.15192,-0.00021014
1.15192,-0.942478,-0.000432401
1.15192,-0.733038,-0.000469166
1.15192,-0.523599,-0.000370799
1.15192,-0.314159,-0.000348024
1.15192,-0.10472,-0.000449506
1.15192,0.10472,-0.000237065
1.15192,0.314159,-0.000273487
1.15192,0.523599,-0.000233531
1.15192,0.733038,-0.000509034
1.15192,0.942478,-0.000220663
1.15192,1.15192,-0.000112206
1.15192,1.36136,-0.000247501
1.15192,1.5708,-0.000373684
1.15192,1.78024,-0.000142976
1.15192,1.98968,-2.64194e-05
1.15192,2.19911,-0.000157782
1.15192,2.40855,-0.000503663
1.15192,2.61799,-0.000144928
1.15192,2.82743,-6.4131e-05
1.15192,3.03687,0.000714398
1.36136,-3.03687,0.000497798
1.36136,-2.82743,0.000713979
1.36136,-2.61799,0.000774099
1.36136,-2.40855,0.00110649
1.36136,-2.19911,0.00109821
1.36136,-1.98968,0.00034167
1.36136,-1.78024,-4.82887e-05
1.36136,-1.5708,-0.000393696
1.36136,-1.36136,-0.000890332
1.36136,-1.15192,-0.000726329
1.36136,-0.942478,-0.000423472
1.36136,-0.733038,-0.00029296
1.36136,-0.523599,-0.000154216
1.36136,-0.314159,-0.000388393
1.36136,-0.10472,-0.000251645
1.36136,0.10472,-0.000416615
1.36136,0.314159,-0.000451378
1.36136,0.523599,-0.000301676
1.36136,0.733038,-0.000504572
1.36136,0.942478,-0.000325208
1.36136,1.15192,-0.000253522
1.36136,1.36136,1.72441e-05
1.36136,1.5708,0.000287657
1.36136,1.78024,0.000252216
1.36136,1.98968,-5.14815e-05
1.36136,2.19911,0.000165103
1.36136,2.40855,-2.32523e-05
1.36136,2.61799,-4.09334e-05
1.36136,2.82743,-5.74375e-05
1.36136,3.03687,0.000404555
1.5708,-3.03687,-0.000340857
1.5708,-2.82743,7.22606e-05
1.5708,-2.61799,0.000383167
1.5708,-2.40855,0.000748954
1.5708,-2.19911,0.000750326
1.5708,-1.98968,0.000555688
1.5708,-1.78024,-4.01253e-05
1.5708,-1.5708,-0.000523222
1.5708,-1.36136,-0.000900539
1.5708,-1.15192,-0.000478777
1.5708,-0.942478,-0.000563507
1.5708,-0.733038,-0.00057225
1.5708,-0.523599,-0.000478303
1.5708,-0.314159,-0.000481021
1.5708,-0.10472,-0.000704971
1.5708,0.10472,-0.000423772
1.5708,0.314159,-0.000288512
1.5708,0.523599,-0.000346082
1.5708,0.733038,-0.000484955
1.5708,0.942478,-0.000555391
1.5708,1.15192,0.000194531
1.5708,1.36136,-0.000191641
1.5708,1.5708,0.00049665
1.5708,1.78024,0.000655625
1.5708,1.98968,0.000759703
1.5708,2.19911,0.000583622
1.5708,2.40855,-0.000459122
1.5708,2.61799,-0.000108472
1.5708,2.82743,-0.000411553
1.5708,3.03687,0.000177823
1.78024,-3.03687,-0.000691513
1.78024,-2.82743,-0.000461968
1.78024,-2.61799,1.24703e-05
1.78024,-2.40855,0.000483653
1.78024,-2.19911,0.000340962
1.78024,-1.98968,0.000882234
1.78024,-1.78024,-0.000376788
1.78024,-1.5708,-0.000611581
1.78024,-1.36136,-0.000795712
1.78024,-1.15192,-0.000517173
1.78024,-0.942478,-0.000575957
1.78024,-0.733038,-0.000543409
1.78024,-0.523599,-0.000520636
1.78024,-0.314159,-0.000283453
1.78024,-0.10472,-0.000223711
1.78024,0.10472,-0.000469993
1.78024,0.314159,-0.000490612
1.78024,0.523599,-0.000226259
1.78024,0.733038,-0.000377272
1.78024,0.942478,-0.000252916
1.78024,1.15192,-0.000191425
1.78024,1.36136,0.000210093
1.78024,1.5708,0.000361593
1.78024,1.78024,0.000956529
1.78024,1.98968,0.00141617
1.78024,2.19911,0.00129905
1.78024,2.40855,0.000746917
1.78024,2.61799,0.000238417
1.78024,2.82743,-0.000499925
1.78024,3.03687,-0.00073757
1.98968,-3.03687,-0.0014229
1.98968,-2.82743,-0.00092863
1.98968,-2.61799,-0.000528103
1.98968,-2.40855,0.000494504
1.98968,-2.19911,0.00036791
1.98968,-1.98968,0.000446485
1.98968,-1.78024,0.000155485
1.98968,-1.5708,-0.000186608
1.98968,-1.36136,-0.000279399
1.98968,-1.15192,-0.00058786
1.98968,-0.942478,-0.000248632
1.98968,-0.733038,-0.000630634
1.98968,-0.523599,-0.000493464
1.98968,-0.314159,-0.000447037
1.98968,-0.10472,-0.000350227
1.98968,0.10472,-0.000548043
1.98968,0.314159,-0.000526733
1.98968,0.523599,-0.000129952
1.98968,0.733038,-3.34847e-05
1.98968,0.942478,-0.000576252
1.98968,1.15192,-0.000408161
1.98968,1.36136,0.000428055
1.98968,1.5708,0.000820681
1.98968,1.78024,0.00144167
1.98968,1.98968,0.00198903
1.98968,2.19911,0.00215093
1.98968,2.40855,0.00183772
1.98968,2.61799,0.00101316
1.98968,2.82743,0.000104599
1.98968,3.03687,-0.000500292
2.19911,-3.03687,-0.00159073
2.19911,-2.82743,-0.00176122
2.19911,-2.61799,-0.000521377
2.19911,-2.40855,-0.000316495
2.19911,-2.19911,0.000557601
2.19911,-1.98968,0.000616782
2.19911,-1.78024,0.000394088
2.19911,-1.5708,-1.33834e-05
2.19911,-1.36136,0.000273239
2.19911,-1.15192,-0.00029246
2.19911,-0.942478,-0.00021985
2.19911,-0.733038,-0.000343256
2.19911,-0.523599,-0.000512508
2.19911,-0.314159,-0.000183231
2.19911,-0.10472,-0.000270847
2.19911,0.10472,-5.50494e-05
2.19911,0.314159,-0.000123338
2.19911,0.523599,-0.000224341
2.19911,0.733038,-0.000107547
2.19911,0.942478,-0.000229681
2.19911,1.15192,-0.000420877
2.19911,1.36136,-5.49903e-06
2.19911,1.5708,0.000275686
2.19911,1.78024,0.000992181
2.19911,1.98968,0.001645
2.19911,2.19911,0.00248074
2.19911,2.40855,0.00260207
2.19911,2.61799,0.0021063
2.19911,2.82743,-0.000107021
