case,selection,tau,inverse_tau,a_observed,a_predicted_linear,residual,bootstrap_se,standardized_residual,affinity,dt
equilibrium_dt2p5e4,all_admissible,10,0.1,-0.0001775593702328581,-0.00016477251242368838,-1.2786857809169734e-05,0.00013030845388371294,-0.09812761511682662,equilibrium,0.00025
equilibrium_dt2p5e4,all_admissible,20,0.05,-4.324975660586546e-05,-0.00010950457127885496,6.62548146729895e-05,0.00013528953365817044,0.4897260924883691,equilibrium,0.00025
equilibrium_dt2p5e4,all_admissible,25,0.04,-7.473529695181086e-05,-9.845098304988827e-05,2.3715686098077412e-05,0.0001333087951368458,0.17790038589526289,equilibrium,0.00025
equilibrium_dt2p5e4,all_admissible,40,0.025,-8.034507687196035e-05,-8.187060070643826e-05,1.525523834477907e-06,0.0001298215559304655,0.011750928599985366,equilibrium,0.00025
equilibrium_dt2p5e4,all_admissible,80,0.0125,-0.0001248806535509028,-6.805361542022991e-05,-5.68270381306729e-05,0.00013918437680585736,-0.40828604068069096,equilibrium,0.00025
equilibrium_dt2p5e4,all_admissible,160,0.00625,-0.00013750522794251307,-6.114512277712573e-05,-7.636010516538734e-05,0.0001276223724436193,-0.5983285195479462,equilibrium,0.00025
equilibrium_dt2p5e4,all_admissible,320,0.003125,-1.2043344795574794e-05,-5.769087645557365e-05,4.5647531659998854e-05,0.00014168121559740484,0.32218478270054435,equilibrium,0.00025
equilibrium_dt2p5e4,all_admissible,640,0.0015625,-2.3366256661947917e-05,-5.5963753294797606e-05,3.2597496632849686e-05,0.00014361090736970413,0.22698482468976022,equilibrium,0.00025
equilibrium_dt2p5e4,tau_ge_10,10,0.1,-0.0001775593702328581,-0.00014973918409142458,-2.7820186141433526e-05,0.00013030845388371294,-0.21349486784840696,equilibrium,0.00025
equilibrium_dt2p5e4,tau_ge_10,20,0.05,-4.324975660586546e-05,-0.00010448905297115484,6.123929636528938e-05,0.00013528953365817044,0.45265361413706817,equilibrium,0.00025
equilibrium_dt2p5e4,tau_ge_10,25,0.04,-7.473529695181086e-05,-9.543902674710088e-05,2.0703729795290018e-05,0.0001333087951368458,0.1553065555354916,equilibrium,0.00025
equilibrium_dt2p5e4,tau_ge_10,40,0.025,-8.034507687196035e-05,-8.186398741101997e-05,1.5189105390596186e-06,0.0001298215559304655,0.011699987172185577,equilibrium,0.00025
equilibrium_dt2p5e4,tau_ge_10,80,0.0125,-0.0001248806535509028,-7.055145463095254e-05,-5.432919891995027e-05,0.00013918437680585736,-0.39033977926798397,equilibrium,0.00025
equilibrium_dt2p5e4,tau_ge_10,160,0.00625,-0.00013750522794251307,-6.489518824091882e-05,-7.261003970159425e-05,0.0001276223724436193,-0.5689444437625678,equilibrium,0.00025
equilibrium_dt2p5e4,tau_ge_10,320,0.003125,-1.2043344795574794e-05,-6.206705504590196e-05,5.0023710250327165e-05,0.00014168121559740484,0.3530722830080196,equilibrium,0.00025
equilibrium_dt2p5e4,tau_ge_10,640,0.0015625,-2.3366256661947917e-05,-6.0652988448393524e-05,3.7286731786445604e-05,0.00014361090736970413,0.25963718542949293,equilibrium,0.00025
