affinity,case,dt,tau,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
weak,weak_dt5e4,0.0005,20,11,14.222966125852398,20137,13752,0.38137465081572014,0.011062392413792137
weak,weak_dt5e4,0.0005,20,12,15.515963046384435,19546,12995,0.4082059938231904,0.01131874714993377
weak,weak_dt5e4,0.0005,20,13,16.808959966916472,19379,12240,0.4594807284599323,0.011545631046561403
weak,weak_dt5e4,0.0005,20,14,18.101956887448505,18623,11710,0.4639541983397428,0.011793817778469523
weak,weak_dt5e4,0.0005,20,15,19.394953807980542,18503,11097,0.5112580795811524,0.012006653792733822
weak,weak_dt5e4,0.0005,20,16,20.68795072851258,17817,10008,0.5767682845372227,0.012491846764296854
weak,weak_dt5e4,0.0005,20,17,21.980947649044616,17431,9562,0.6004533200288167,0.012725945418658579
weak,weak_dt5e4,0.0005,20,18,23.273944569576653,16875,8962,0.6328398203946423,0.013070634849435235
weak,weak_dt5e4,0.0005,20,19,24.566941490108686,16440,8249,0.6896254087494392,0.013492741232967922
weak,weak_dt5e4,0.0005,20,20,25.859938410640723,15678,7790,0.6994175958838734,0.013861938920038466
weak,weak_dt5e4,0.0005,20,21,27.15293533117276,14915,7165,0.7331593566865766,0.014374071748371511
weak,weak_dt5e4,0.0005,20,22,28.445932251704797,14094,6723,0.7402146914179311,0.0148221219419671
weak,weak_dt5e4,0.0005,20,23,29.738929172236833,13540,5959,0.8207455857192871,0.015545695070692294
weak,weak_dt5e4,0.0005,20,24,31.03192609276887,13041,5630,0.8399887985231657,0.01594682192568757
weak,weak_dt5e4,0.0005,20,25,32.324923013300904,12356,5098,0.8852934691024116,0.01664595132770974
weak,weak_dt5e4,0.0005,20,26,33.617919933832944,11634,4712,0.9038193991392842,0.01726786229560314
weak,weak_dt5e4,0.0005,20,27,34.91091685436498,11090,4316,0.9437147539663875,0.01794066164741507
weak,weak_dt5e4,0.0005,20,28,36.20391377489701,10439,4113,0.9313961031778744,0.018409947053224844
weak,weak_dt5e4,0.0005,20,29,37.49691069542905,10022,3659,1.0075927905004631,0.019315258176725844
weak,weak_dt5e4,0.0005,20,30,38.789907615961084,9291,3297,1.0360332255695814,0.02027158298165875
weak,weak_dt5e4,0.0005,20,31,40.082904536493125,8754,2957,1.0853354978983634,0.021270027778412696
weak,weak_dt5e4,0.0005,20,32,41.37590145702516,8268,2660,1.134066519025914,0.022290986604003006
weak,weak_dt5e4,0.0005,20,33,42.66889837755719,7719,2455,1.1455580607212328,0.023170723671569134
weak,weak_dt5e4,0.0005,20,34,43.96189529808923,7348,2279,1.170691417089332,0.023976663570550668
weak,weak_dt5e4,0.0005,20,35,45.254892218621265,6663,1938,1.2349133201118256,0.025808495063311877
weak,weak_dt5e4,0.0005,20,36,46.547889139153305,6340,1688,1.3233343722753692,0.027388789097657826
weak,weak_dt5e4,0.0005,20,37,47.84088605968534,5852,1614,1.288067913310121,0.028115128246591778
weak,weak_dt5e4,0.0005,20,38,49.13388298021737,5441,1437,1.3314052604069004,0.029659466762067644
weak,weak_dt5e4,0.0005,20,39,50.42687990074941,4976,1304,1.3391898919324172,0.03111005939996342
weak,weak_dt5e4,0.0005,20,40,51.719876821281446,4712,1122,1.434999639248781,0.033218815538888405
weak,weak_dt5e4,0.0005,20,41,53.012873741813486,4313,967,1.4951905011945488,0.03558065962530108
weak,weak_dt5e4,0.0005,20,42,54.30587066234552,4090,864,1.554727480232792,0.037442037670424935
weak,weak_dt5e4,0.0005,20,43,55.59886758287755,3769,776,1.5804124730839166,0.039420580417973854
weak,weak_dt5e4,0.0005,20,44,56.89186450340959,3373,706,1.563942597568408,0.04138722723617057
weak,weak_dt5e4,0.0005,20,45,58.184861423941626,3133,602,1.6494888456433707,0.0445007017911326
weak,weak_dt5e4,0.0005,20,46,59.47785834447367,2815,566,1.6041234623706078,0.0460654343206807
weak,weak_dt5e4,0.0005,20,47,60.7708552650057,2569,473,1.6921766086179506,0.05003420255094799
weak,weak_dt5e4,0.0005,20,48,62.06385218553774,2433,412,1.7758569934339963,0.053274756438505634
weak,weak_dt5e4,0.0005,20,49,63.356849106069774,2188,409,1.67702800749907,0.053870457268209514
weak,weak_dt5e4,0.0005,20,50,64.64984602660181,2023,334,1.8011958441910452,0.05906206353706253
weak,weak_dt5e4,0.0005,20,51,65.94284294713384,1824,331,1.706668795257214,0.05974440266911089
weak,weak_dt5e4,0.0005,20,52,67.23583986766589,1680,273,1.817077277212345,0.06525520483640948
weak,weak_dt5e4,0.0005,20,53,68.52883678819792,1556,263,1.7777196725605724,0.0666704949034593
weak,weak_dt5e4,0.0005,20,54,69.82183370872995,1430,223,1.8582579517938342,0.07199726128149685
weak,weak_dt5e4,0.0005,20,55,71.11483062926199,1221,181,1.908928442844879,0.07964836908219688
weak,weak_dt5e4,0.0005,20,56,72.40782754979402,1134,158,1.9709114512607306,0.08491730176600161
weak,weak_dt5e4,0.0005,20,57,73.70082447032607,1067,139,2.0381323181710616,0.0901745625278586
weak,weak_dt5e4,0.0005,20,58,74.9938213908581,947,118,2.0826144687204136,0.09762449733682499
weak,weak_dt5e4,0.0005,20,59,76.28681831139014,843,107,2.064138123539949,0.10262569859897025
weak,weak_dt5e4,0.0005,20,60,77.57981523192217,764,95,2.0846908975659795,0.10878978037037253
weak,weak_dt5e4,0.0005,20,61,78.8728121524542,703,68,2.335849186634558,0.12699747028829672
weak,weak_dt5e4,0.0005,20,62,80.16580907298625,631,77,2.1035004406875295,0.1207137069304713
weak,weak_dt5e4,0.0005,20,63,81.45880599351828,551,71,2.049054932111599,0.1260927796304031
weak,weak_dt5e4,0.0005,20,64,82.75180291405032,516,50,2.334083760053417,0.14811476798794923
weak,weak_dt5e4,0.0005,20,65,84.04479983458235,474,48,2.2900063107871858,0.15146959422499137
weak,weak_dt5e4,0.0005,20,66,85.33779675511438,424,48,2.178532444324067,0.15228862038698449
weak,weak_dt5e4,0.0005,20,67,86.63079367564643,368,31,2.4740957336837845,0.18701726075546304
weak,weak_dt5e4,0.0005,20,68,87.92379059617846,312,26,2.4849066497880004,0.2041241452319315
weak,weak_dt5e4,0.0005,20,69,89.2167875167105,292,25,2.457877977400081,0.20838583813264897
weak,weak_dt5e4,0.0005,20,70,90.50978443724253,281,25,2.419478844465545,0.20870725636932216
weak,weak_dt5e4,0.0005,20,71,91.80278135777456,250,28,2.1892564076870427,0.1992844341996778
weak,weak_dt5e4,0.0005,20,72,93.09577827830661,239,15,2.7684133508293005,0.2661780740126367
weak,weak_dt5e4,0.0005,20,73,94.38877519883864,180,16,2.4203681286504293,0.2608745973749755
weak,weak_dt5e4,0.0005,20,74,95.68177211937068,168,10,2.8213788864092133,0.32550327333589285
weak,weak_dt5e4,0.0005,25,1,1.4420797307696147,16164,15432,0.04634327161279925,0.011254611921613453
weak,weak_dt5e4,0.0005,25,2,2.8841594615392294,15939,14926,0.06566427742772013,0.011390187851486858
weak,weak_dt5e4,0.0005,25,3,4.326239192308844,16278,14522,0.11414976194679467,0.011414624253693738
weak,weak_dt5e4,0.0005,25,4,5.768318923078459,16358,14139,0.14578013770307877,0.011482966840539678
weak,weak_dt5e4,0.0005,25,5,7.210398653848074,16474,13574,0.19362718223749037,0.01159189215531848
weak,weak_dt5e4,0.0005,25,6,8.652478384617687,16581,13052,0.2393160827881614,0.01170156416241235
