affinity,case,kind,T_left,T_right,delta_beta,dt,seed,bootstrap_seed,tau,inverse_tau,N_windows,mean_Q,std_Q,skew_Q,excess_kurtosis_Q,n_negative,p_negative,dQ,n_symmetric_pairs,full_sample_resolved,admissible,a_fit,a_bootstrap_se,a_ci_low,a_ci_high,ci_contains_reference,a_over_delta_beta,intercept,R2,quadratic_linear,quadratic_coefficient,quadratic_intercept,quadratic_R2,bootstrap_accepted,bootstrap_total
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,20,0.05,1000064,34.89921622516131,27.717072148184013,0.45292601084866285,0.5303448057372795,88761,0.0887553196595418,1.3858536074092007,45,1,1,0.11336899308909201,0.0003663143980588619,0.1126118105802528,0.11401925831967141,0,0.9069519447127361,0.010978564208408004,0.9994925154595129,0.11310192038594771,7.163565093567749e-06,0.012545731740054807,0.9994933120950349,1000,1000
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,25,0.04,800000,43.623931274133696,30.883522615337608,0.419549528010754,0.42596005491446487,51218,0.0640225,1.5441761307668804,37,1,1,0.1162790925689311,0.0005052925353016372,0.11515016122383204,0.1171711359153072,0,0.9302327405514488,0.001925917433106232,0.999195975703071,0.11697198660237358,-1.813661366205362e-05,-0.002260672233955137,0.9992006378544188,1000,1000
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,40,0.025,499968,69.79734329651409,38.89329032986205,0.3447314797280882,0.2789014258616791,12744,0.02548963133640553,1.9446645164931025,30,1,1,0.11966113186895713,0.0009954899323322496,0.11743564715862273,0.12133777060637616,0,0.9572890549516571,-0.001674357961561798,0.99750257850243,0.12033849662636424,-1.639476320456067e-05,-0.006091219192605947,0.9975066098630777,1000,1000
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,80,0.0125,249984,139.59468659302817,54.75240802228261,0.2519521070558615,0.15533928882838266,661,0.002644169226830517,2.7376204011141305,13,1,1,0.1246027986997101,0.005455737230571251,0.11179651024707296,0.1336243245854931,1,0.9968223895976808,-0.08131650921670236,0.9866061867910744,0.11506202359566925,0.00028487374457310407,-0.027144293799583056,0.9870523384356508,1000,1000
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,160,0.00625,124928,279.190273769414,77.25011375535314,0.18064403560929448,0.08078030994979857,2,1.600922131147541e-05,3.862505687767657,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,320,0.003125,62464,558.3805475388281,109.02951086941945,0.13234344091497385,0.07774204310193822,0,0.0,5.4514755434709725,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
moderate,moderate_dt5e4,baseline,8.0,4.0,0.125,0.0005,2026090403,2026094126,640,0.0015625,31232,1116.761095077656,153.43231364064212,0.10201255348958171,0.04040047377033762,0,0.0,7.671615682032106,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,5,0.2,4000256,8.723577185710482,14.342993979511775,0.5612950959543348,1.248173542801145,1078192,0.26953075003199795,0.7171496989755888,75,1,1,0.09589655660906543,0.00015731434068538507,0.09556668535395821,0.0962000168122269,0,0.7671724528725234,-0.00041395821617218223,0.9997777089392431,0.09544948929536351,1.6764486558082687e-05,0.0014298566147751268,0.9997812739292675,1000,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,10,0.1,2000128,17.447154371420964,19.816649835780712,0.5419779394225576,0.8596707377678432,359207,0.17959200611160886,0.9908324917890357,58,1,1,0.10671090857518396,0.0002475879237691261,0.10618205841107373,0.10719070341226235,0,0.8536872686014717,-0.003205233338722951,0.9996294792760159,0.10372873515495995,9.543424073559453e-05,0.011435221390851817,0.9997496063384874,1000,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,20,0.05,1000064,34.89430874284192,27.680385506226816,0.44774520563962994,0.5099891790455549,88994,0.0889883047484961,1.3840192753113407,44,1,1,0.1143320172977489,0.0003937162779959617,0.11350661686319885,0.11501628793216052,0,0.9146561383819912,-0.007439419913438218,0.9993303532752512,0.11173968728028393,7.034150079215252e-05,0.007689989189704772,0.9994049878416039,1000,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,25,0.04,800000,43.61765399861226,30.825218552577788,0.4146733520354562,0.42162239187390327,51334,0.0641675,1.5412609276288893,36,1,1,0.11694554491608633,0.0005123369899193163,0.11585781581922593,0.11778658554799021,0,0.9355643593286906,-0.011597030684762144,0.9993463110669796,0.11688374839945405,1.6342037965318335e-06,-0.011227088219466042,0.999346347292881,1000,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,40,0.025,499968,69.78767639053815,38.87311618717665,0.3411969759666836,0.2668223904400753,12748,0.0254976318484383,1.9436558093588325,31,1,1,0.11934606848547306,0.0010637945737253193,0.11721724613194102,0.12129258653895306,0,0.9547685478837845,-0.005544748464119025,0.998181012085381,0.11981157077694445,-1.1112891774824637e-05,-0.00863878551249978,0.9981829747156294,1000,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,80,0.0125,249984,139.5753527810763,54.785540536274496,0.25490083352538345,0.1414317961315028,646,0.0025841653865847415,2.739277026813725,14,1,1,0.11252693886084811,0.005113055530840032,0.10350177880907986,0.12360227287025459,0,0.9002155108867849,0.0923764514880426,0.9879879988966884,0.13765249327462417,-0.0006858432176141851,-0.06035312318932756,0.9916401216663127,1000,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,160,0.00625,124928,279.1602174714729,77.3653362764693,0.1913737018291657,0.09857473358808377,2,1.600922131147541e-05,3.868266813823465,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,320,0.003125,62464,558.3204349429459,109.61980628810093,0.13089261229121185,0.019760907518197257,0,0.0,5.480990314405046,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
moderate,moderate_dt2p5e4,new,8.0,4.0,0.125,0.00025,2026091103,2026095105,640,0.0015625,31232,1116.6408698858916,154.957149419405,0.10415931758386993,0.021414644858930743,0,0.0,7.74785747097025,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,5,0.2,4000256,8.736495427501854,14.339112219672554,0.5623258376401628,1.2559963910035563,1077219,0.26928751559900166,0.7169556109836277,76,1,1,0.09621307253693849,0.00015749539111346476,0.09588156720423098,0.09649651203162907,0,0.7697045802955079,-0.001805095062114445,0.999742594231482,0.0955120927857722,2.628457460069162e-05,0.0010867857835672784,0.9997514068567952,1000,1000
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,10,0.1,2000128,17.472990855003708,19.816413173490016,0.5422164538339221,0.8635235040452933,359375,0.1796760007359529,0.9908206586745008,58,1,1,0.10722134745151185,0.0002518460498139775,0.10666336886347813,0.10766535267201983,0,0.8577707796120948,-0.010755733574554288,0.9996004860410006,0.10406186111886138,0.00010128350748566425,0.004747666007406215,0.9997343601665295,1000,1000
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,20,0.05,1000064,34.94598171000742,27.68666074325867,0.4504353990596243,0.5127848453634338,88581,0.08857533117880456,1.3843330371629334,41,1,1,0.11465957233682479,0.00044723328058613663,0.11366182205726116,0.1154046928633984,0,0.9172765786945983,-0.004516433753808582,0.9995391366439585,0.11261644172024222,5.625072102006064e-05,0.0072297841462572844,0.9995823870987443,1000,1000
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,25,0.04,800000,43.68265752342786,30.87823443748749,0.4156546673863282,0.42946637821235356,51323,0.06415375,1.5439117218743745,38,1,1,0.11624770944603188,0.0005606883264301847,0.11503103734029237,0.11722732845921903,0,0.9299816755682551,-0.006178728247383403,0.9992643615458078,0.11534745096378268,2.349381226605349e-05,-0.000723787694604714,0.9992723877190373,1000,1000
