source,n,tau,n_samples,mean_action_current,mean_heat_current,heat_on_action_slope,heat_on_action_intercept,pearson_correlation,residual_variance,heat_variance,residual_variance_fraction
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,333312,0.054260985717708425,0.7959488400759615,6.891962430419938,0.4219841650719652,0.57424672465943,0.16781883118853344,0.25038591566336704,0.6702406992179166
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,249984,0.05426098571770842,0.7959488400759613,8.005704288813519,0.3615514340004536,0.6424395226040517,0.10477643352874048,0.17841226877445604,0.5872714597962767
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,199936,0.05426065269138891,0.7959593714318859,8.84503286367997,0.31602211517182593,0.6886526789932121,0.07264937795049477,0.13818039618640837,0.5257574877154728
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,166656,0.054260985717708425,0.7959488400759615,9.461623228844754,0.2825518371892788,0.7210278534060384,0.0540484429350296,0.11257305283312018,0.4801188346126825
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,142848,0.05426098571770842,0.7959488400759613,10.01690455631496,0.25242172501010784,0.7492673560404789,0.041462101880936644,0.09453317459253076,0.43859842917210823
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,124928,0.05426158230814064,0.7959506776933334,10.451146048643823,0.2288549561604474,0.7714432382426345,0.033229864936788145,0.0820743138952391,0.4048753301697197
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,111104,0.05426098571770841,0.7959488400759612,10.80973664590904,0.20940187432010288,0.7895942699699848,0.027030022790587225,0.07178509317948202,0.3765408888305669
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,99968,0.05426065269138891,0.7959593714318859,11.120655777527467,0.1925453305869795,0.8033698049627881,0.022878752151570887,0.06452044140216665,0.35459695647405476
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,1000064,0.03051862827008755,0.5229449840788842,1.2232094994731424,0.4856143080680229,0.10064222745106137,0.9173177855284387,0.9267042411452431,0.9898711420536886
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,499968,0.03051958681978504,0.5229514852283311,3.309894440530732,0.4219348744862329,0.26471162397769304,0.3221059840414125,0.34637742762030727,0.9299277561310932
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,60.0,333312,0.030519586819785043,0.5229514852283311,4.916269089222087,0.3729089839303926,0.3822003483990663,0.16851549204700803,0.19734274990575507,0.8539228936836338
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,80.0,249984,0.03051958681978504,0.5229514852283311,6.1604785887329045,0.33493622408807133,0.4655632862582891,0.10546314032794783,0.13464797835040923,0.7832508264883823
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,100.0,199936,0.030520771371975303,0.5229615895165683,7.154061054954283,0.3046141276771564,0.5250535157438508,0.07371019781748628,0.10176485443577069,0.7243188056050213
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,120.0,166656,0.030519586819785043,0.5229514852283311,7.948846109831936,0.2803559862622056,0.5718202383534988,0.05438469118918172,0.0808067526752856,0.6730216150093487
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,140.0,142848,0.030519586819785043,0.5229514852283311,8.654839746452474,0.2588093521751485,0.6084597630693759,0.04239293255689009,0.06731422650444531,0.6297767167255578
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,160.0,124928,0.030520774349722005,0.5229522122235897,9.236294439164586,0.24105335381825613,0.6387419823691765,0.03400365997393612,0.05743777266286981,0.5920086799590945
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,180.0,111104,0.030519586819785043,0.5229514852283311,9.752994008819867,0.22529413782330932,0.6623745547304137,0.028042136196669863,0.049962831366032245,0.5612599492456827
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,200.0,99968,0.030520771371975303,0.5229615895165683,10.199918395034691,0.21165221216890961,0.6831043160044588,0.023593520972416477,0.04423493562496935,0.5333684934560775
