observable,bin_index,abs_left,abs_right,a_center,positive_count,negative_count,qualifies_ge_20_each,log_count_ratio
medium_entropy,243,116.27760117642582,116.75610982324238,116.5168554998341,82,0,0,nan
medium_entropy,244,116.75610982324238,117.23461847005895,116.99536414665066,67,0,0,nan
medium_entropy,245,117.23461847005895,117.71312711687551,117.47387279346724,65,0,0,nan
medium_entropy,246,117.71312711687551,118.19163576369208,117.9523814402838,60,0,0,nan
medium_entropy,247,118.19163576369208,118.67014441050864,118.43089008710037,66,0,0,nan
medium_entropy,248,118.67014441050864,119.14865305732522,118.90939873391693,58,0,0,nan
medium_entropy,249,119.14865305732522,119.62716170414178,119.3879073807335,62,0,0,nan
medium_entropy,250,119.62716170414178,120.10567035095835,119.86641602755006,51,0,0,nan
medium_entropy,251,120.10567035095835,120.58417899777491,120.34492467436664,49,0,0,nan
medium_entropy,252,120.58417899777491,121.06268764459148,120.8234333211832,43,0,0,nan
medium_entropy,253,121.06268764459148,121.54119629140806,121.30194196799977,47,0,0,nan
medium_entropy,254,121.54119629140806,122.01970493822462,121.78045061481633,45,0,0,nan
medium_entropy,255,122.01970493822462,122.49821358504119,122.2589592616329,56,0,0,nan
medium_entropy,256,122.49821358504119,122.97672223185775,122.73746790844947,47,0,0,nan
medium_entropy,257,122.97672223185775,123.45523087867431,123.21597655526604,50,0,0,nan
medium_entropy,258,123.45523087867431,123.93373952549089,123.6944852020826,35,0,0,nan
medium_entropy,259,123.93373952549089,124.41224817230746,124.17299384889917,39,0,0,nan
medium_entropy,260,124.41224817230746,124.89075681912402,124.65150249571573,26,0,0,nan
medium_entropy,261,124.89075681912402,125.36926546594059,125.13001114253231,26,0,0,nan
medium_entropy,262,125.36926546594059,125.84777411275715,125.60851978934888,26,0,0,nan
medium_entropy,263,125.84777411275715,126.32628275957373,126.08702843616544,15,0,0,nan
medium_entropy,264,126.32628275957373,126.8047914063903,126.565537082982,29,0,0,nan
medium_entropy,265,126.8047914063903,127.28330005320686,127.04404572979857,23,0,0,nan
medium_entropy,266,127.28330005320686,127.76180870002342,127.52255437661513,25,0,0,nan
medium_entropy,267,127.76180870002342,128.24031734684,128.0010630234317,19,0,0,nan
medium_entropy,268,128.24031734684,128.71882599365657,128.47957167024828,18,0,0,nan
medium_entropy,269,128.71882599365657,129.19733464047312,128.95808031706486,19,0,0,nan
