source,n,tau,k,psi,psi_ci_low,psi_ci_high,sample_count,n_streams,groups_per_stream,sample_weight_ess,sample_weight_relative_ess,stream_weight_ess,max_sample_weight_fraction,max_stream_weight_fraction,direct_reliability_gate
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.0,0.0,0.0,0.0,499968,128,3906,499968.0,1.0,128.0,2.000128008192523e-06,0.007812499999999995,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.025,-0.0295748763148584,-0.029606007163372326,-0.029542162188452258,499968,128,3906,418479.54781955655,0.8370126644496378,127.99329822002356,8.748835451948926e-06,0.007961585381604871,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.05,-0.054701850683643596,-0.05476119142440989,-0.05463865301441679,499968,128,3906,275725.4869581774,0.5514862690375733,127.97459123816313,3.2031312505483126e-05,0.008142654084493058,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.07500000000000001,-0.07615672216862066,-0.07624817567685578,-0.07605461239029737,499968,128,3906,159220.71125194448,0.31846180405934876,127.93777599196137,0.00010125308398810448,0.008329998577808051,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.1,-0.09452524291522395,-0.09465969633034073,-0.0943698629849806,499968,128,3906,85174.44135124658,0.1703597857287798,127.86376615307205,0.00028289572295919074,0.008519365259474714,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.125,-0.11025814265710313,-0.11046082856073738,-0.1100373678673845,499968,128,3906,43396.22157405261,0.08679799821999129,127.70806155260904,0.0007113102660338003,0.009010841482080817,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.15000000000000002,-0.12370712594669442,-0.1239986687778988,-0.12338590166367956,499968,128,3906,21302.264436773796,0.042607255737914816,127.36727001964401,0.001632360508750954,0.010230204015553098,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.17500000000000002,-0.1351493538776662,-0.13555865673349876,-0.13467724639777934,499968,128,3906,10103.801820509967,0.020208897010428602,126.5963305084058,0.0034571018223193105,0.012450355870022084,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.2,-0.1448044185383635,-0.145374036052165,-0.1440755172589644,499968,128,3906,4642.145794037089,0.009284885820766708,124.82142200119789,0.006816509695439083,0.016334919408488194,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.225,-0.15284627907948467,-0.15371412270691157,-0.15174613105344736,499968,128,3906,2085.781463267244,0.004171829923649601,120.81140430588968,0.012600498198513872,0.022808193018178654,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.25,-0.15941199232512043,-0.1607393295660426,-0.15777051082708318,499968,128,3906,933.3195129406243,0.001866758498425148,112.4399946554754,0.02195685184306211,0.03304021875230673,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.275,-0.1646088131208744,-0.16659069960070122,-0.1622144798041143,499968,128,3906,425.2119989116315,0.0008504784284426833,97.51461319759143,0.03622199187038585,0.04836266071606748,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.30000000000000004,-0.16852098395029438,-0.1714153723455298,-0.16493497347591743,499968,128,3906,201.24515693526956,0.0004025160748993327,76.52938815931033,0.056762031510390075,0.07009862247581435,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.325,-0.17121706233796555,-0.17524504121299272,-0.1662550620548276,499968,128,3906,100.43420123474998,0.00020088125887006764,54.235786555324815,0.08472622225184122,0.0993131930376916,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.35000000000000003,-0.1727578996182811,-0.178431596255884,-0.16618647523518618,499968,128,3906,53.35264989002247,0.00010671212935632374,35.88264069003382,0.12075612305918226,0.13653125365110186,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.375,-0.17320453575253197,-0.18098955052454183,-0.16494263059712114,499968,128,3906,30.308759857659734,6.06213994848865e-05,23.223655048790967,0.16473741966011524,0.1815092206484694,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.4,-0.17262465254112352,-0.18279371910752967,-0.16273870304491547,499968,128,3906,18.42862168510905,3.685960238477073e-05,15.259535538145233,0.21569639644626584,0.23315775862914948,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.42500000000000004,-0.17109620529506545,-0.18394097258940065,-0.1593366994526466,499968,128,3906,11.968051295308976,2.3937634599232302e-05,10.397106602259617,0.271903798620804,0.2896696601629793,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.45,-0.1687075454385192,-0.18468621654641287,-0.15509939862058636,499968,128,3906,8.266060062201737,1.6533178247811333e-05,7.410642609004262,0.33116485178327915,0.3488234195425494,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.47500000000000003,-0.16555442878688564,-0.1847246265143762,-0.15022648882296039,499968,128,3906,6.036954091788293,1.2074680963158229e-05,5.532312252657111,0.39119493552421675,0.4083583521886029,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.5,-0.16173519026188324,-0.18437855389619734,-0.14483669251955675,499968,128,3906,4.631726213637075,9.264045326175025e-06,4.313684390631245,0.44995645714344334,0.4662992345522179,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.525,-0.1573456332850024,-0.18357768265277938,-0.13905396787204238,499968,128,3906,3.708156669499342,7.416788013431543e-06,3.496667495987162,0.5058716101489549,0.5211514118886514,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.55,-0.1524748384959212,-0.18263446608005146,-0.1329670226969705,499968,128,3906,3.0780077120535334,6.156409434310863e-06,2.931156237920847,0.557892044903154,0.5719537131331933,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.5750000000000001,-0.14720246849457636,-0.1814307148902998,-0.12664395015101396,499968,128,3906,2.63350237542919,5.267341860737467e-06,2.527926312193216,0.605457905774453,0.6182254204879495,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.6000000000000001,-0.14159757979396254,-0.1800338189908603,-0.12013698504830586,499968,128,3906,2.3105727880229088,4.621441348292109e-06,2.2325223579708977,0.6483974505068543,0.6598594039356309,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.625,-0.13571862265568463,-0.1784438876959089,-0.11348597958990371,499968,128,3906,2.0697882288065825,4.139841407463243e-06,2.0107777690415194,0.6868115441249529,0.6970047229428191,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.65,-0.12961421026697958,-0.17641365591367217,-0.10672131652463794,499968,128,3906,1.8860946652597665,3.772430766088563e-06,1.8406655979171682,0.7209702014849677,0.7299642246212366,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.675,-0.12332428427150419,-0.1741357552177065,-0.09986622065131356,499968,128,3906,1.7431022238689153,3.4864275791028933e-06,1.707613663098366,0.7512324558443183,0.759116918244464,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.7000000000000001,-0.11688140601341428,-0.1718461866132703,-0.09293853453047639,499968,128,3906,1.6298003480124186,3.2598093238215616e-06,1.6017458090349457,0.7779905418284021,0.7848650717059232,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.7250000000000001,-0.11031200623294354,-0.16961055101829803,-0.08595205706593659,499968,128,3906,1.5386110577500263,3.077419070320553e-06,1.5162168847714401,0.8016344780593058,0.8076015249116331,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.75,-0.10363750649480656,-0.16727016835271472,-0.07891754225753084,499968,128,3906,1.4642024228823658,2.9285922756703743e-06,1.4461832491211328,0.8225317769929216,0.8276916878410083,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,0.775,-0.0968752792963437,-0.16482164709725566,-0.07184344104111393,499968,128,3906,1.4027463861161296,2.805672335261716e-06,1.3881513412581474,0.8410174372456075,0.8454653179554963,0
