quarter,j,interval_start,interval_end,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
2,2,500,1000,0.2264084956207335,0.0015383836080409942,512,0.004527356364923688,0.0014065826673339455
2,3,500,1000,0.23056192357490235,0.0015867490975350722,512,0.006341361109552987,0.0013884428776780808
2,4,500,1000,0.23076345310291585,0.0016320402257329588,512,0.006909693462039968,0.0013438997785961027
2,5,500,1000,0.23045955128730183,0.0016754012772504812,512,0.005038641327998815,0.0013909821414122225
2,6,500,1000,0.22998930703210974,0.0017710668710338641,512,0.005505772179775866,0.001380065876193684
2,7,500,1000,0.23209771599485424,0.0019167022306563234,512,0.00871100895804361,0.0013647723266870936
2,8,500,1000,0.23352685098900955,0.0019766340578230785,512,0.005201173686539173,0.0013873287033448142
2,9,500,1000,0.23385846929772272,0.0021413532220619052,512,0.0059420530260791,0.0014242049115497195
2,10,500,1000,0.2346745342925225,0.002148807194297483,512,0.007090447943998734,0.0013931230734041213
2,11,500,1000,0.2370954885288468,0.002331845417648638,512,0.00636543139261292,0.0014769924003402463
2,12,500,1000,0.23729826358399947,0.0024898148847114043,512,0.007882091695572194,0.0014902980522946284
2,13,500,1000,0.23927906981152347,0.0025887881678204583,512,0.005379480154230546,0.0014741799916975326
2,14,500,1000,0.23973333144332615,0.0025735115871358205,512,0.003822045720026004,0.001400638818734023
2,15,500,1000,0.23862795166073192,0.0023358834375017284,512,0.003684964015424866,0.0014654721760668614
2,16,500,1000,0.24050521759056456,0.0025493729036942694,512,0.004311915796349304,0.00143777096039867
2,17,500,1000,0.24164030410550053,0.002769067422227462,512,0.002595067509551084,0.00141524051785425
2,18,500,1000,0.23955668278699777,0.002607736685351737,512,0.002468990140680454,0.0013842111275638364
2,19,500,1000,0.24054540050939954,0.00259075061988462,512,0.005163378943718306,0.0013814307921502947
2,20,500,1000,0.24035461673642367,0.002551198325518454,512,0.003799894776560237,0.001413012000291278
2,21,500,1000,0.240080672050659,0.002590832327608248,512,0.004584941758914352,0.0014157490705393723
2,22,500,1000,0.24106714119841569,0.0027041596760984826,512,0.0050578224366160714,0.0014636061948479658
2,23,500,1000,0.24249965932881284,0.002738378447411152,512,0.006199546137139873,0.0014443796808627093
2,24,500,1000,0.24246812568174425,0.002789848416596243,512,0.007586795136760794,0.0014940889651625352
2,25,500,1000,0.24314517748216558,0.0027430262294442192,512,0.005854965743506579,0.0014393659653519132
