phase,checkpoint,j,absolute_time,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
measurement,2,5,9000,0.4169516910051456,0.01862897831095633,512,0.0659328161511894,0.03166095173089525
measurement,2,6,9000,0.4167960745790964,0.02307198603112194,512,0.02524856997797542,0.030608726531559417
measurement,2,7,9000,0.4557801556927217,0.0225411699237128,512,-0.012084763559869316,0.03180200111874661
measurement,2,8,9000,0.4404071666283471,0.020559042735724887,512,-0.006754814269925191,0.029725245220348875
measurement,2,9,9000,0.4903166868321023,0.028632769059602603,512,0.05476492488480744,0.03123644009764103
measurement,2,10,9000,0.4399988266154651,0.022316455907164363,512,-0.012588956844410859,0.030891961380437625
measurement,2,11,9000,0.4544997897016856,0.022224673507095054,512,0.0515743804946851,0.03142523308130911
measurement,2,12,9000,0.425729411013549,0.023558520148119898,512,0.025424766319247283,0.0308929281577361
measurement,2,13,9000,0.4804582992403539,0.026141402298714717,512,0.04509109979017012,0.03090317829875539
measurement,2,14,9000,0.41645079618342606,0.022290047296966303,512,0.037885839499267604,0.03115758767833303
measurement,2,15,9000,0.4324624571162303,0.022691210427867484,512,0.023804138301329658,0.030810996754116433
measurement,2,16,9000,0.42352100622599664,0.02072756736118164,512,-0.03684544053322725,0.03127147565331115
measurement,2,17,9000,0.39632420891166475,0.02035298723130398,512,-0.010213968384050531,0.031225497036312284
measurement,2,18,9000,0.48359868073862344,0.029855450320092666,512,0.013443302816995129,0.031325590911016936
measurement,2,19,9000,0.4526271054362496,0.02545171646340673,512,-0.036766133562196046,0.030954685843582977
measurement,2,20,9000,0.4503818008275857,0.0253678185298473,512,-0.02753997637591965,0.0319020481341208
measurement,2,21,9000,0.48951486300950364,0.02773745489773235,512,0.024493253943205673,0.031023977542590644
measurement,2,22,9000,0.5156272533323545,0.03314358659532415,512,-0.005196579373389909,0.03172049113874821
measurement,2,23,9000,0.452889320596114,0.02522169957161435,512,0.04860189659166281,0.03053727422943076
measurement,2,24,9000,0.4424715020494432,0.024087358394007753,512,0.016714490418053174,0.03145227688965592
measurement,2,25,9000,0.5157787374249665,0.03348398220936889,512,0.025302913637688107,0.03070179958521418
measurement,2,26,9000,0.4538144408784319,0.026496806250859036,512,0.024228850696090376,0.031206183237586796
measurement,2,27,9000,0.5067121032924433,0.033912761801311704,512,-0.019338731567586365,0.032461213403844176
measurement,2,28,9000,0.4384556371963413,0.022292398448598205,512,0.0161544459228935,0.03184697391471544
measurement,2,29,9000,0.5022720259229345,0.031530553344619607,512,0.006192515728116632,0.030259857724506286
measurement,2,30,9000,0.5165071588745604,0.03044033106726949,512,0.03491507250782888,0.03105679940001532
measurement,2,31,9000,0.4621272268714165,0.02599685642808396,512,0.07168375965920859,0.030754068950091265
measurement,2,32,9000,0.504395318789193,0.032283964599486736,512,0.04510651166447133,0.031146552644954865
