bc_label,temp_label,T1,Tn,n,burnin,measure,seeds,valid_trajectories,nonfinite_trajectories,discarded_trajectories,projection_count,mean_I_left,se_I_left,mean_I_right,se_I_right,mean_I_mid,se_I_mid_conservative,mid_sites,mean_sin_mid,se_sin_mid_conservative,mid_bonds,max_seed_z,median_seed_z,left_last_quarter_relative_change,right_last_quarter_relative_change,max_I_left_over_trajectories,max_I_right_over_trajectories,unstable_nonfinite
BC3,T10_T2,10,2,100,32000,2000,2026291500;2026291501,512,0,0,10046210,3.035572050012985,0.0019584008183294865,1.5881875967324093,0.0017657930115929567,2.7260360316502132,0.009541022956863945,50;51,0.004621388015095979,0.0002405564035994996,50,3.10523891104281,0.6556837306230149,0.00017042964091811195,0.00018196988763932216,99.80545043945312,84.01188659667969,False
BC3,T4_T6,4,6,25,2000,2000,2026300750;2026300751,512,0,0,1119166,2.1512399012723025,0.001690300996036529,2.393814241636677,0.0016262124602220793,2.2210690330063083,0.002935831982711627,13,-0.005694964215976466,0.000231220108612296,12;13,3.00860718771519,0.679381073062026,0.00011250584626187875,0.0003379062843894622,53.738929748535156,56.1336669921875,False
BC3,T4_T6,4,6,50,8000,2000,2026301000;2026301001,512,0,0,2887538,2.0513234281714023,0.0017983169746782633,2.384361234366622,0.0017879387738571706,2.4202429589373065,0.005702928553285686,25;26,-0.0033230780660850655,0.00025429113806861483,25,2.114212680371858,0.5409108182753097,-0.0010023075254787842,-0.00043022072919087715,67.85623931884766,66.45530700683594,False
BC3,T4_T6,4,6,100,32000,2000,2026301500;2026301501,512,0,0,9821589,2.0257648151594267,0.0017512228224443,2.4011666052227065,0.001898466944471488,2.493496764643881,0.0089682350675773,50;51,-0.0011990789499336494,0.00024441688489374396,50,2.4074880832733228,0.5960597586534504,-1.794683004428366e-05,0.00037175986117441443,87.62162017822266,89.44824981689453,False
BC3,T6_T6,6,6,25,2000,2000,2026310750;2026310751,512,0,0,1243869,2.484221516477636,0.00176491060756202,2.4858848478849183,0.001807225133860568,2.444747251885478,0.003022476869717202,13,4.763666073017271e-05,0.0002147557720727188,12;13,2.4130789090512454,0.7837860548402472,-0.0004160126096280185,-0.0004823146667046002,53.060054779052734,54.461585998535156,False
BC3,T6_T6,6,6,50,8000,2000,2026311000;2026311001,512,0,0,3206317,2.431250920564664,0.0018431093452858324,2.431229041631709,0.0019449196531169768,2.6616374138955017,0.006147622088393454,25;26,-0.00012536784634711818,0.000229919594189349,25,3.474810566655017,0.5925124191173872,-0.00011036707871800683,0.0007197990796626995,75.22396850585938,69.93230438232422,False
BC3,T6_T6,6,6,100,32000,2000,2026311500;2026311501,512,0,0,10836782,2.4302495056472475,0.001859852297385217,2.429720625875217,0.0018818747232324734,2.7125569429313616,0.008775011023850431,50;51,6.848803173153743e-05,0.0002609545199489103,50,3.3374913504547994,0.9360970729865322,-0.00010637827131568012,0.00034467744804816096,91.0767822265625,95.25164794921875,False
BC3b,T10_T2,10,2,25,2000,2000,2026390750;2026390751,512,0,0,1264640,2.8603190161933827,0.0020824885669804344,1.9021988534568484,0.0019408743780086114,2.4426077420024015,0.003684470438052339,13,0.01972858353287104,0.0002320773877247847,12;13,2.454968247272466,0.8789852645223238,0.00013530200205232615,-0.0001944766747057206,56.19440460205078,53.11384963989258,False
BC3b,T10_T2,10,2,50,8000,2000,2026391000;2026391001,512,0,0,3194908,2.9518394734544153,0.0020928690515393997,1.6836457895617507,0.0017568285572370558,2.5447156133283504,0.006308861154334062,25;26,0.010258826222120692,0.0002647534887158348,25,2.210674626405514,0.5807595547132528,-4.835095934932526e-05,0.0006406996411688888,72.27672576904297,87.2665023803711,False
BC3b,T10_T2,10,2,100,32000,2000,2026391500;2026391501,512,0,0,10865316,3.0215748813823127,0.002050360352670708,1.5585813596309896,0.0018622007551982998,2.553522053039736,0.008951433715779437,50;51,0.005329757680438757,0.00026433508320096086,50,2.5021063442043894,0.6619773827327822,-0.0008378058579261709,0.0011954865864209486,99.85723876953125,74.32057189941406,False
BC3b,T4_T6,4,6,25,2000,2000,2026400750;2026400751,512,0,0,1219878,2.1037739633055326,0.0017231524479863606,2.3564523284786487,0.00172164101503502,2.213014281135564,0.003314117364902268,13,-0.005638077194842531,0.00023227782691016537,12;13,4.143754510407882,0.7143998648165254,4.3731315076234856e-05,0.00011127460290086846,49.54730987548828,59.93997573852539,False
BC3b,T4_T6,4,6,50,8000,2000,2026401000;2026401001,512,0,0,3116393,2.0297836831341796,0.0017775183562503787,2.3625472787377575,0.0018919105657892912,2.3087251556346784,0.0058915222386905835,25;26,-0.0025038697707141016,0.00025498571748359267,25,2.69144493480734,0.5473107605899464,-5.443716449555042e-05,-0.00019868119654432436,62.89879608154297,64.75756072998047,False
BC3b,T4_T6,4,6,100,32000,2000,2026401500;2026401501,512,0,0,10580352,2.001810566838975,0.0017153020425238717,2.385958194315723,0.0018195608436216077,2.355035959126866,0.008355425794370645,50;51,-0.0018316853062581438,0.00027724765845945476,50,2.697141192769653,0.6273675700267156,-0.00046849655765412887,0.00022662463734685932,78.7685546875,74.8384017944336,False
BC3b,T6_T6,6,6,25,2000,2000,2026410750;2026410751,512,0,0,1363145,2.437326030962483,0.0019784262189550287,2.4377038085916602,0.001876027665543338,2.42321415764495,0.0034399192020016086,13,8.164862424427945e-07,0.00023747796935624815,12;13,1.5200551145181895,0.5097408531659914,0.00013253598278321373,-0.0006761305820551585,55.98012924194336,54.000858306884766,False
BC3b,T6_T6,6,6,50,8000,2000,2026411000;2026411001,512,0,0,3450233,2.413052808250247,0.001914642134053923,2.4098245494585657,0.001857005428179222,2.520035353344184,0.005900734341950809,25;26,-6.122989636368111e-05,0.00024401919293543333,25,2.3401770892475744,0.5837315486294139,-0.00019988673461742527,0.000168394655781537,66.09384155273438,75.76753997802734,False
BC3b,T6_T6,6,6,100,32000,2000,2026411500;2026411501,512,0,0,11706207,2.4070793186084867,0.001968146525357355,2.405930043055357,0.0018145194182842656,2.581146039666392,0.008929280565690676,50;51,0.00028646894923059366,0.00025170346471738115,50,2.6227032814521944,0.5277699568386678,0.0004339834278210591,0.0003635003649106576,84.63573455810547,88.43067169189453,False
