n,tau,inverse_tau,k,psi_medium,psi_right,right_minus_medium,difference_ci_low,difference_ci_high,tau_times_difference,medium_reliability_gate,right_reliability_gate,paired_reliability_gate
20,40.0,0.025,0.3,-0.05494981002347785,-0.07950858773270975,-0.024558777709231892,-0.025290756978210545,-0.02386848031462527,-0.9823511083692757,1,1,1
20,60.0,0.016666666666666666,0.05,-0.023584641800853994,-0.024212747324153277,-0.0006281055232992827,-0.0006358772319526388,-0.00062045336652541,-0.03768633139795696,1,1,1
20,60.0,0.016666666666666666,0.1,-0.04002992418032415,-0.042309235155824756,-0.0022793109755006036,-0.002309619359571148,-0.002250190039313045,-0.13675865853003621,1,1,1
20,60.0,0.016666666666666666,0.2,-0.05856097293607834,-0.06654678576930774,-0.007985812833229397,-0.008188556849243803,-0.007780891715981194,-0.4791487699937638,1,1,1
20,60.0,0.016666666666666666,0.3,-0.06384550957896501,-0.08031865094506695,-0.016473141366101937,-0.017233292510241617,-0.01573700137890545,-0.9883884819661162,1,1,1
20,80.0,0.0125,0.05,-0.023747214309550558,-0.024221435138115078,-0.00047422082856451997,-0.00048234025032500085,-0.0004667482664593886,-0.0379376662851616,1,1,1
20,80.0,0.0125,0.1,-0.040625853086981675,-0.04233255437605552,-0.0017067012890738462,-0.00174876762549554,-0.0016685360743943201,-0.1365361031259077,1,1,1
20,80.0,0.0125,0.2,-0.06079391785368058,-0.06662391137066681,-0.00582999351698623,-0.006099334369077536,-0.005561740755995442,-0.4663994813588984,1,1,1
20,80.0,0.0125,0.3,-0.06890928632478702,-0.08060804955531183,-0.011698763230524808,-0.012723881735991033,-0.010636163105521691,-0.9359010584419847,0,0,0
20,100.0,0.01,0.05,-0.02386016378838738,-0.024233268907249174,-0.000373105118861794,-0.0003820670473412773,-0.00036489470376573264,-0.0373105118861794,1,1,1
20,100.0,0.01,0.1,-0.041018926383490764,-0.04235743079130544,-0.0013385044078146752,-0.0013832017581640187,-0.0012945358390024312,-0.13385044078146752,1,1,1
20,100.0,0.01,0.2,-0.06191337029698861,-0.06651239794226099,-0.004599027645272383,-0.005019475784594605,-0.004172161961800306,-0.4599027645272383,0,0,0
20,100.0,0.01,0.3,-0.07062624696296496,-0.07973832205793427,-0.009112075094969307,-0.01095551041637369,-0.007260050216751466,-0.9112075094969307,0,0,0
20,120.0,0.008333333333333333,0.05,-0.023920841052344096,-0.02423295215313252,-0.0003121111007884231,-0.00031998062173203183,-0.0003044416395697897,-0.03745333209461077,1,1,1
20,120.0,0.008333333333333333,0.1,-0.041200427825582225,-0.0423394043797332,-0.001138976554150975,-0.001178329751571117,-0.0010966528315900852,-0.136677186498117,1,1,1
20,120.0,0.008333333333333333,0.2,-0.06188553584900777,-0.06624988328036246,-0.004364347431354693,-0.00521859100763878,-0.0036863861847557205,-0.5237216917625631,0,0,0
20,120.0,0.008333333333333333,0.3,-0.06717875021983591,-0.0782448404979433,-0.011066090278107385,-0.01325365699624259,-0.00694753293543984,-1.327930833372886,0,0,0
20,140.0,0.007142857142857143,0.05,-0.023938202071651257,-0.024211298443375207,-0.0002730963717239507,-0.00028035290620361236,-0.00026579877867060725,-0.038233492041353095,1,1,1
20,140.0,0.007142857142857143,0.1,-0.041278281418520774,-0.042257696705973166,-0.0009794152874523926,-0.00102412934302558,-0.0009352149168219958,-0.13711814024333496,1,1,1
20,140.0,0.007142857142857143,0.2,-0.06304228773734852,-0.06648629098108565,-0.0034440032437371287,-0.003946914469681225,-0.0029468954998165004,-0.482160454123198,0,0,0
20,140.0,0.007142857142857143,0.3,-0.07435955166495029,-0.08168738640446636,-0.007327834739516079,-0.009411117837386542,-0.005237672256803808,-1.025896863532251,0,0,0
20,160.0,0.00625,0.05,-0.023985090908387362,-0.024228391378095803,-0.00024330046970844066,-0.0002519701566475881,-0.00023565586420835408,-0.038928075153350505,1,1,1
20,160.0,0.00625,0.1,-0.041440729120284896,-0.04233992666436383,-0.0008991975440789321,-0.00095467969852027,-0.0008497723443258477,-0.14387160705262914,1,1,1
20,160.0,0.00625,0.2,-0.06342596493538533,-0.06662322038459602,-0.0031972554492106925,-0.0038193979875452244,-0.0025996818929441916,-0.5115608718737108,0,0,0
20,160.0,0.00625,0.3,-0.07550351055120115,-0.08145767633210474,-0.005954165780903589,-0.007865780276803064,-0.0040585218144749855,-0.9526665249445743,0,0,0
20,180.0,0.005555555555555556,0.05,-0.024025135417957498,-0.02423354675138733,-0.00020841133342983098,-0.0002164332296464561,-0.00020060919640798124,-0.037514040017369576,1,1,1
20,180.0,0.005555555555555556,0.1,-0.04159860235925885,-0.04234984261065712,-0.0007512402513982705,-0.0008022995643896027,-0.0006971860688245341,-0.1352232452516887,1,1,1
20,180.0,0.005555555555555556,0.2,-0.0644606114294251,-0.06710899665795436,-0.002648385228529268,-0.0031354385482497754,-0.0020778064369304907,-0.47670934113526825,0,0,0
20,180.0,0.005555555555555556,0.3,-0.07779277395819482,-0.0834846085484846,-0.005691834590289782,-0.0066970431868845805,-0.003692812625803446,-1.0245302262521607,0,0,0
20,200.0,0.005,0.05,-0.024057060789533454,-0.024240796444868085,-0.00018373565533463115,-0.00019357328304286762,-0.00017353608944261522,-0.03674713106692623,1,1,1
