case,mode,reference_real,reference_imag,cutoff,lambda_real,lambda_imag,pass,real_range,real_tolerance,imag_range,imag_tolerance
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,1e-12,-0.9407584041517817,0.0,True,0.0,0.18815168083035635,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,1e-08,-1.7926057547050551,0.0,True,0.0,0.35852115094101106,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,1e-10,-1.7926057547050551,0.0,True,0.0,0.35852115094101106,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,1e-12,-1.7926057547050551,0.0,True,0.0,0.35852115094101106,0.0,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,1e-08,-2.1516394334588527,0.0,True,0.0,0.4303278866917706,0.0,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,1e-10,-2.1516394334588527,0.0,True,0.0,0.4303278866917706,0.0,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,1e-12,-2.1516394334588527,0.0,True,0.0,0.4303278866917706,0.0,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,1e-08,-2.5437710919280434,0.0,True,0.0,0.5087542183856087,0.0,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,1e-10,-2.5437710919280434,0.0,True,0.0,0.5087542183856087,0.0,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,1e-12,-2.5437710919280434,0.0,True,0.0,0.5087542183856087,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,1e-08,-2.862537701207786,0.0,True,0.0,0.5725075402415573,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,1e-10,-2.862537701207786,0.0,True,0.0,0.5725075402415573,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,1e-12,-2.862537701207786,0.0,True,0.0,0.5725075402415573,0.0,0.5
